"","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"10150_10150",3.20054065499818e-07,1.39647546789698e-07,9.31021912589906e-06,0.0472437767178262,0.0317447413402836,0.0111048042307336,0.685270434545128,5.97670215115971e-06,0.000116986012051726,7.13601938158297e-06,3.4847706602359e-08,0.17601296512949,7.64815829350882e-07,0.00012667472791858,1.08913507759362e-06,5.42907135289462e-06,1.27716629540239e-06,0.0483481396180357
"10150_10250",2.64746739937871e-07,3.98620387574993e-07,0.00420469055825723,0.131368761935214,0.28289869337321,0.0138392167225029,0.460115374536596,0.00101503623091583,0.00108720572705852,7.23814172476293e-05,2.01770283265185e-06,0.0401147077414856,0.000454245823044422,0.000162596196684249,0.000321693779002527,0.00107469772903243,0.00159434972541188,0.0616736674343765
"10150_10350",0.00013635868305457,8.94702857853176e-06,0.000989064557308438,0.128370202292934,0.32175333718306,0.00576503463325432,0.360162442465926,0.000848474213176942,0.00187055159126365,0.000252339447989276,2.31348282009613e-06,0.135227472264568,0.0121328034106703,0.000433096755163978,0.000320932311092107,0.000734566103367647,0.000408069261563252,0.0305839943142093
"10150_10450",1.70650957223073e-05,5.54259954071644e-05,0.000473023487324489,0.0746628922809718,0.13699512996412,0.0278490074489858,0.509633361984522,5.64546790685332e-05,0.000292783108980602,1.68821314594561e-05,2.10231886585084e-05,0.172901613927855,5.74047051949878e-05,0.00041883216646967,1.56539084194209e-05,0.000143881983906497,0.00013249474008451,0.0762570692028492
"10150_10550",1.24318120253473e-07,5.07193577053806e-08,0.00488860916272302,0.0692544490985404,0.232078320182855,0.0199299964856773,0.379433655174686,0.000121315192542442,0.000758454059459494,2.28511392089811e-05,5.05985685072466e-06,0.240286924555691,0.000195738209262027,0.00146854331896781,1.05427337894351e-05,0.000105800415706396,1.83461455658136e-05,0.0514212192309955
"10150_10650",0.0005185293798507,9.93573051259611e-06,0.000430606247380714,0.064518723378476,0.245050858531836,0.00277174408886778,0.477991747370696,0.0199583899692205,7.82471309568029e-05,1.0750911029065e-05,9.52649684777777e-07,0.151634911252093,0.00290950743174519,0.000292988104460577,5.83679234328021e-05,0.00121889507048281,0.000182763002454701,0.0323620818268206
"10150_10750",0.000248089725575359,0.000146564830890919,0.052397489530192,0.0657009496514987,0.183696581080542,0.0267623512449325,0.339427807509028,5.85275646461937e-05,0.0920499798487236,2.88834345444968e-05,1.18282052086792e-06,0.0726299447749548,0.00450419974111888,0.0603940039241422,5.88276331040184e-06,0.0219746092024206,0.0043080304417481,0.0756649219112097
"10250_10050",5.68869302161367e-08,3.88781518918328e-10,2.20537200855802e-07,0.0402627107421318,0.0140816278978103,0.00761487815086285,0.600544230319795,1.63856072931916e-06,3.81334391756921e-07,8.53203093771535e-10,9.02444817742335e-11,0.272134641784794,2.64146181975768e-05,1.68825040503471e-05,3.70022572314381e-08,1.48002365550047e-09,2.66843825985922e-10,0.0653162765817517
"10250_10150",1.0479322251376e-08,1.04807253941074e-09,1.40739855359257e-06,0.0242884775187577,0.0199343940025495,0.0133006340773256,0.61294868546757,1.65200754829714e-06,3.22517163463056e-06,1.54492956521763e-09,8.55503605869594e-11,0.271488743476347,2.04642987022251e-05,1.23918170686205e-06,1.06688995301852e-07,1.90762705573982e-09,7.04162038371038e-10,0.058010954940645
"10250_10250",1.50431141157919e-06,4.00868825607735e-07,0.000156392746742545,0.0378805212919998,0.0751215887594281,0.016490796376948,0.561122020520878,2.25634424473706e-05,0.000123652031055985,1.02539638420886e-07,2.39798272455156e-09,0.257527211434647,1.10398250232126e-05,1.22607851020762e-05,2.04467791245371e-07,1.22942223361772e-06,3.89648047022888e-07,0.0515281191297974
"10250_10350",8.05969804845496e-07,1.93839716039415e-07,6.42214452529621e-05,0.0397030317351589,0.0941771478377671,0.0168568329179172,0.569999822755258,7.69258832225912e-05,0.000136606837284132,2.78963734470784e-07,2.9278455233882e-08,0.228095127497609,2.94782231995075e-05,1.3478126354681e-05,6.73561904094683e-07,3.62766224310756e-06,3.4595040849292e-06,0.050838257961033
"10250_10450",3.17339019489287e-06,1.39255750100675e-06,0.000328837920600241,0.0271591411139255,0.059827755271559,0.00660166632210435,0.60605392431224,0.000146278932654952,0.000569698322167189,2.2140728737868e-06,6.45296580047518e-08,0.233574288736052,0.000147335916003643,4.96835292627666e-05,8.33853166638909e-06,5.05675128885009e-06,6.03342227885856e-06,0.0655151163679688
"10250_10550",7.60499833302696e-06,3.98084895861623e-06,0.000588860530986777,0.0635579528017803,0.0550755137865043,0.00747936970857025,0.614005695106283,0.000349176135694359,0.00054021781355721,1.09671791726213e-05,1.68162780715112e-07,0.184859356355494,0.000195504447907615,0.000138045668256023,1.53743650015156e-05,2.30318448530178e-05,1.38931900097781e-05,0.073135287055857
"10250_10650",1.47471457043171e-05,3.64579130024438e-06,0.00358903122279576,0.0520766459963927,0.140319279263029,0.0317685240829333,0.544129288586213,0.000612908139944335,0.00334841742018321,9.83874936176276e-06,1.7857641734693e-06,0.167741512295966,0.000193676943402414,0.000339387305556344,2.41144399695301e-05,0.00022246345989922,0.000275082541301542,0.0553296508518743
"10250_10750",4.41330243539295e-06,9.13268834351756e-06,0.00323222704219983,0.0561873229650119,0.219442569771031,0.0224815552253163,0.472222248704477,0.000386259020166507,0.000697884114748072,1.17307630197706e-05,1.51734823523414e-07,0.180521536957855,0.00011272000070276,9.94599450031478e-05,3.88395550042651e-06,0.000471604451562541,0.000361448414064733,0.0437538509437389
"10250_10850",8.19649834247463e-06,3.53289059380136e-05,0.000648391156301344,0.0786293002590348,0.121838090721875,0.0215700488902598,0.515051689617881,0.000169130456692425,0.000414263268538277,6.86878076642235e-06,2.74618573188609e-07,0.203545054417841,9.18116960723782e-06,0.000386220089579064,1.3598301796297e-06,6.28427770989757e-05,0.000100735301144894,0.0575230232403465
"10250_9950",2.19045425665163e-08,9.46455211489541e-11,1.1947017648582e-06,0.0262455238030339,0.0184937503797287,0.0167840033947411,0.564513719754186,4.10278447109147e-06,6.03642225650612e-07,5.26482465137114e-09,4.14870499914347e-10,0.319366044887372,2.54901577606567e-07,8.95901636164953e-06,4.20884839211482e-08,1.50725703735232e-09,4.48852547952393e-10,0.0545817710110609
"10350_10050",5.28374961228685e-10,3.05981062528344e-11,8.03066891642568e-09,0.021318238235395,0.00172327073571105,0.00744858087763295,0.544027034216425,1.37641674704946e-08,2.47610152836817e-08,6.92238385900923e-12,3.56066387433053e-13,0.367718089267892,1.30515002640039e-08,6.1726102546104e-07,1.36001615449139e-09,2.95213996256942e-12,2.87441644229872e-13,0.0577641078690591
"10350_10150",3.00215029140654e-09,1.27987041804916e-10,1.21932277382339e-07,0.0275289857662974,0.00653450786834501,0.0121543098268537,0.578173662846877,3.83533697731682e-07,1.31443320369161e-07,1.04600100332756e-10,4.25421494983539e-12,0.317064787598635,6.03450417739593e-07,1.06743356481328e-05,2.28297845470336e-09,1.50512332817373e-10,1.24894135416693e-11,0.0585318257126588
"10350_10250",5.0692015271166e-08,3.75290603074563e-09,5.15019155429677e-08,0.0163045993340324,0.00693888689145462,0.0169179081323646,0.563507559858843,1.22205887121626e-07,1.54310451953905e-07,4.94925312262481e-11,1.6829077207617e-12,0.346883023021762,1.51475661654568e-06,7.36219195843673e-06,1.76357259591771e-09,1.94870667031555e-11,1.03993394356988e-11,0.0494387615051584
"10350_10350",5.64713529359774e-09,5.09124952950023e-10,6.73011869484688e-08,0.00703354349372853,0.00333783350150437,0.00558521251776026,0.556687732697702,7.40897850224168e-08,4.51358545967861e-08,1.16323826878803e-11,8.88582725977507e-13,0.382367424225002,1.72807272518773e-08,1.0595921724661e-07,2.89833014671798e-10,1.30909396274093e-11,2.02007315579396e-12,0.0449879373238071
"10350_10450",4.7389757288541e-07,1.68529992329562e-07,3.81231995931279e-06,0.0292784604349469,0.0289364900738357,0.00817582070274652,0.56845073294528,9.65693608068206e-06,1.93529858696999e-06,9.558991975541e-09,9.826479370864e-10,0.318635417434475,9.81745980861696e-07,6.13459631905221e-06,1.08900396807186e-07,4.12716578621738e-08,1.7521197607305e-08,0.0464997368493319
"10350_10550",5.05075872159938e-07,1.95575127098667e-08,9.97988165295125e-06,0.0234227134366159,0.0584725415351875,0.00968356362226363,0.578407021931251,3.72017304745152e-05,6.26648790190749e-06,3.32922923712903e-08,3.66917763315055e-09,0.272871219869621,2.48636157717606e-05,2.58994431521745e-05,1.46779012019197e-07,1.44029129549382e-07,8.08195519875599e-08,0.0570377952235592
"10350_10650",2.33632053232898e-07,1.25270925588391e-07,7.76894679350311e-05,0.0427281855892699,0.0808362953042711,0.0116048275759218,0.554560853165509,1.55523772685098e-05,5.47500311918327e-05,3.86534483992058e-08,1.62565551557839e-09,0.247114407132323,8.62380110950649e-05,9.73401059265862e-05,5.17095404702432e-07,1.06767871110757e-06,4.10225023742843e-07,0.062821467058066
