"cell_ID","n03-GC-1","n02-PGC-1","n07-GC-2","n17-M/TC-3","n06-Transition","n01-OSNs","n13-AstrocyteLike","n09-GC-3","n14-GC-7","n10-GC-4","n05-PGC-2","n18-EPL-IN","n04-Immature","n16-M/TC-2","n08-PGC-3","n11-GC-5","n12-GC-6","n15-M/TC-1"
"10150_10150",0,0,0.00140900874464176,0,0,0.761114418972827,0,0.237476572282531,0,0,0,0,0,0,0,0,0,0
"10150_10250",0,0,0,0.521977020284249,0,0,-8.07291454851624e-17,0,4.38257305790671e-18,0,0,0,0,0,0,0,0,0.478022979715751
"10150_10350",0,0,0,0,0.383872376300574,0,0,0.355736397811793,0,0,0,0,0,0,0,0,0.227776258130937,0.0326149677566954
"10150_10450",0,0.0792937129757198,0,0,-2.38202640418815e-18,0,0,0.212939146277918,0,0,0,0,0,0,0,0,0,0.707767140746362
"10150_10550",0,0,0.0139997585249951,0.517301441658502,0,0,0,0.332242301583154,0,0,0,0,0,0,0,0,0,0.136456498233349
"10150_10650",0,0,0,0.133475311898377,0,0,0,0,0,0,0,0,0,0,0,0.866524688101623,0,0
"10150_10750",0,0,0.521543607300142,0,0,0,0,0,0,0,0,0.478456392699857,0,0,0,0,0,0
"10250_10050",0,0,0,0.439745892890684,-6.44610083762264e-18,0.380837594626705,0,0.153290856901483,0,0,0,0,0,0,0,0,0,0.0261256555811283
"10250_10150",0,0.0616788655756749,0.00124202940047519,0.161407539966145,0.472172765137597,0.291847796803311,0,0.0116510031167978,0,0,0,0,0,0,0,0,0,0
"10250_10250",0,0,0,0.196111468287856,0.63377959998868,3.00487481358272e-05,0,0.16742234690252,0.00194420450418585,0,0,0,0,0,0,0,0.00071233156862312,0
"10250_10350",0,0,0,0.181663511044339,0.379708843763255,0.180750977312034,0,0.257876667880372,0,0,0,0,0,0,0,0,0,0
"10250_10450",0.176829624913426,0,0.226709874230969,0.173637287442519,0.217590567277021,0.158757299619765,0,0.0217879169423357,0,0,0,0,0,0,0,0,0,0.0246874295739646
"10250_10550",0,0,0.123276020741296,0.305962649868139,-4.20630954577956e-19,0,0,0.410204228092957,0,0,0,0,0,0,0,0,0,0.160557101297608
