,n01-OSNs,n02-PGC-1,n03-GC-1,n04-Immature,n05-PGC-2,n06-Transition,n07-GC-2,n08-PGC-3,n09-GC-3,n10-GC-4,n11-GC-5,n12-GC-6,n13-AstrocyteLike,n14-GC-7,n15-M/TC-1,n16-M/TC-2,n17-M/TC-3,n18-EPL-IN
10150_10150,0.744029289484024,0.015972948074340822,0.011803148500621318,0.0017029394977726043,0.008126360038295389,0.8642868399620056,0.015523888310417533,0.03014378370717168,0.018871265556663276,0.2601330280303955,0.03627909570932388,0.019142021983861925,0.02443015929311514,0.021312835812568664,0.18059757724404335,0.1268363654613495,0.03251724354922771,0.01009248816408217
10150_10250,0.15188983753323557,0.007463326468132437,0.00470861392095685,0.0012244448822457342,0.009324757941067218,1.1922691643238068,0.26349980682134627,0.05877195820212364,0.02522348575294018,0.002578311029355973,0.7800524115562439,0.04572420008480549,0.012122164573520422,0.027096608467400075,0.5982111513614654,0.0035338519490323963,0.39280337989330294,0.013592830719426274
10150_10350,0.0553040161728859,0.046192516945302485,0.02097006645053625,0.029925116058439016,0.0066600642167031765,1.1758390307426452,0.4896525233983994,0.09460230953991414,0.3050899937748909,0.005121852760203183,0.5381065160036087,0.15120789408683777,0.013884603697806596,0.06518116295337677,0.43875173926353456,0.24983426183462143,0.06310717482119799,0.02520837588235736
10150_10450,0.05071276500821114,0.07218645140528679,0.010450857225805521,0.0012773858208674938,0.1916321858763695,0.7003686875104904,0.14868146404623986,0.016097919084131718,0.021987987495958806,0.0015888618887402116,0.04890411961823702,0.36764287054538725,0.009105914179235697,0.01559690935537219,0.6633364915847778,0.16552894115447997,0.19256780296564102,0.05553693361580372
10150_10550,0.0678334128111601,0.007769131544046104,0.008447189163416625,0.007197362463921309,0.19453299641609192,0.8234384179115295,1.015941047668457,0.008080253284424544,0.1536632038652897,0.012196621531620622,0.5618844866752625,0.03291817307472229,0.010463708359748126,0.07361911311745643,0.5777444124221802,0.11586508266627789,0.1879501886665821,0.021491808723658325
10150_10650,0.016031497716903688,0.04721043258905411,0.12738725394010544,0.005718960775993764,0.04941584151238203,0.2376391850411892,0.9192245036363602,0.00305691760731861,0.11847110502421856,0.003170911699999124,0.5390275597572327,0.0705223698168993,0.006607784028165043,0.09861671030521393,0.528084522485733,0.012471316754817963,0.024736632965505122,0.03537244535982609
10150_10750,0.018664417508989575,0.005212871031835676,0.0063942943699657915,0.01113017057068646,0.012132355989888311,0.22638263925909996,0.18377098962664604,0.008019522996619344,0.29525810182094575,0.01233757375739515,0.479077610373497,0.04040393251925707,0.004657433973625303,0.05789830945432187,0.3595545843243599,0.12147902697324753,0.003956740896683186,0.014129242626950145
10250_10050,0.9614312291145325,0.012874329742044211,0.04433844871819019,0.036208494752645495,0.06641065962612629,0.2885817587375641,0.006474491115659476,0.04191019088029861,0.2939557358622551,0.037131312675774096,0.014430858241394163,0.006926112854853272,0.44121085554361344,0.010832081036642195,0.39994252771139144,0.11471115872263908,0.0653373807668686,0.015419668052345514
10250_10150,1.0673472940921784,0.015699638426303862,0.11754129268229008,0.08755470290780068,0.009293897170573473,0.6573560208082199,0.028114886209368705,0.026124540716409683,0.11570737957954406,0.05980733707547188,0.0008304233982926234,0.001888272975338623,0.0785190224647522,0.15216613337397575,0.47524736225605013,0.0851694367825985,0.15039530843496324,0.1503753751516342
10250_10250,0.9946206569671631,0.06096983551979065,0.14423629269003868,0.04611864890903235,0.07089161165058613,0.6260391771793365,0.2557088404893875,0.015202517574653029,0.15476418286561966,0.10405477061867714,0.1777760475873947,0.1548152081668377,0.04725381173193455,0.09989339411258698,0.4932877719402313,0.03884668424725533,0.3283318355679512,0.051963789761066435
