"","Integument_atp1b1b","Neural Stem Cells","Brain, Spinal Cord","Epidermis_egfl6, YSL","Pharyngeal Arch, Somite, Cardiovascular System","Epidermis_evplb","Epidermis_tnn","Tail bud","Pigment Cell","Central Nervous System","Optic Cup","Central Nervous System_ntn1b","Blood Vessel Endothelial Cell","Hatching Gland","Erythroid Lineage Cell","Notochord","Solid Lens Vesicle","Integument_pvalb8","Otic Vesicle","Central Nervous System_msx3","Musculature System","GABAergic Neuron","Leukocyte"
"-533_2335",0.00136220245751098,0.00396808223497649,0.0175556455298119,0.0502554683738435,0.104211471626186,0.00754763829670872,0.00345661499222993,0.00137255990593705,0.0500888723856428,0.00495398845532446,0.00110185699967856,0.00102719696383238,0.0274718256543182,0.0107533068353752,0.036200620717138,0.0099737602437862,0.000722438437528991,2.89776034888584e-05,4.11028670017442e-05,0.000113637956931521,0.638242092416451,0.00624954502351182,0.0233010940227857
"-798_2100",0.000348587968952779,0.000102885348754795,0.0460500965058226,0.00287908087105562,0.000247485885418437,0.00795104159803904,0.00296570542906112,0.0022855264060582,0.0125947523702764,0.790238525587685,0.0873340806518322,0.00616213283252264,0.000210271446563748,8.97807117477245e-07,0.0196393376284945,1.82573062638403e-07,0.0011982685695684,0.00155725172470882,1.32856762681333e-05,6.79581385842215e-05,0.00974985479010599,0.00583744852165662,0.00256534166839078
"-573_2330",0.123907736234923,0.0032830047868083,0.0119771737703121,0.104647465903121,0.0152072888185385,0.0732998122754297,0.0166666835416657,0.0117896955041711,0.261278351445377,0.00121827749511104,0.00363763752474093,0.000298372341111071,0.000431315215098493,0.0126799566974275,0.000236999054920636,0.0280311391905361,0.00320230121831191,0.0235086734128586,8.38239260123874e-05,0.0243067241785949,0.222740009922477,0.0170807835693458,0.0404867739731066
"-783_2120",0.00965155824964024,0.0542095656939529,0.0338807021731528,0.0229548699870442,0.00341495052958994,0.0788100346282466,0.00298429337418076,0.00105828564343837,0.00294300673975337,0.474255593893357,0.102639445339967,0.0103582598051244,0.0145546609920587,6.04828814969559e-07,0.0507154112491099,4.35270355760983e-09,0.0569674500146978,0.00014808629984116,6.27208853707456e-06,0.0445772408840119,0.0301595014751931,0.00110564813156459,0.00460455362601916
"-518_2235",0.0439197075352643,0.099422521628999,0.00662598797522683,0.0529723052975912,0.201747982132425,0.0684077274493258,0.000544371617076271,0.00243947768760228,0.101951002016712,0.000151470279199814,3.20399674319755e-05,0.00101004379854667,0.000775471232440843,0.00186217151140124,0.00258061429424361,0.0316759987248074,2.04172546920419e-05,6.38629508888778e-05,3.17950720692606e-07,0.0582247487143954,0.319066758355784,0.00591078194233519,0.000594219682890226
"-543_2425",0.00237637170137034,0.000598625117521358,0.000523511013792655,0.0254552306060187,0.298678124297258,0.0109415102730097,0.000790638305442219,0.0323848058936351,0.0562775591087977,2.77059308932474e-05,0.000219604606459621,0.000112376195378197,0.251175053033856,0.00136823691429668,0.135217543127999,0.0166011254840562,0.000335313391974298,0.00128533823824026,4.60245102928296e-05,0.00279271318437821,0.15420482540923,0.00242549281847328,0.00616227083762563
"-593_2280",0.0614470952150439,0.000200238374265324,6.81764207259248e-06,0.0476292464641202,1.30274926454495e-05,0.213625470723456,0.000798739659522252,0.00488338474397401,0.199057901402608,2.42942362951555e-07,6.0483824599093e-05,3.10919359859385e-06,0.0114191661166734,0.0376270631272253,0.000368346562283722,0.0570761062292529,0.00133094967262623,0.000857527425159023,1.61535765870227e-05,0.0173078058538474,0.286839944642401,0.0125559252821428,0.0468752538335318
"-828_2115",0.000464129125093956,0.0320743874953255,0.0158790834705997,0.0118252898714483,3.9332537246941e-06,0.0306964020600313,0.0105560736414377,0.00688579947620485,5.98931224064504e-05,0.743575125469645,0.0141852157412397,0.0204916601469801,6.99446110223489e-10,0.00962127875427929,0.0201153772867001,0.00156330766059797,0.0127534397770766,0.0203169743505997,0.00569462430387502,0.00900005677897688,0.017325502465406,0.0003149872197096,0.0165974578291957
"-613_2170",0.000491047330918923,0.0726468533481285,0.0833749877914298,0.00756052916888185,0.0225699450591065,0.023017048890324,0.000538408777072906,0.000177207547809392,0.0568941285749768,0.243746101722618,0.000156663644057454,0.0620978501558712,0.0492760171968508,9.42457161306360e-11,0.0425783748762208,0.0250608795445095,7.23056286874199e-07,3.5173075890751e-05,1.16947816331076e-07,0.0089407156718222,0.292012111708567,0.000969566168785626,0.00785554964780968
"-638_2080",1.46571775875697e-05,0.0524684472798159,0.0564685009691439,0.0480060426990061,0.0151700161467812,0.0438415480644316,0.000189867851988051,1.92760212703232e-05,0.00709795430045585,0.539646679681728,2.03915250926414e-05,0.00532349558039808,2.60020644760439e-06,3.53552689286716e-11,3.57788232067416e-10,0.00079382543408015,1.50777584932106e-09,1.92846066951699e-06,2.28822084903566e-08,0.13819496855305,0.0925823861325075,7.91278852219889e-05,7.82612471964997e-05
