"cell_ID","Integument_atp1b1b","Neural Stem Cells","Brain, Spinal Cord","Epidermis_egfl6, YSL","Pharyngeal Arch, Somite, Cardiovascular System","Epidermis_evplb","Epidermis_tnn","Tail bud","Pigment Cell","Central Nervous System","Optic Cup","Central Nervous System_ntn1b","Blood Vessel Endothelial Cell","Hatching Gland","Erythroid Lineage Cell","Notochord","Solid Lens Vesicle","Integument_pvalb8","Otic Vesicle","Central Nervous System_msx3","Musculature System","GABAergic Neuron","Leukocyte"
"-533_2335",0,0,0,0,0.360243260991781,0.0356540830032127,0,0,0,0,0,0,0.0137227483460564,0,2.27638246980884e-05,0,0,0,0,0,0.395172716413024,0,0.195184427421228
"-798_2100",0,0,0,0,0,0,0,0,0.000422616466132211,1.82549360476768e-19,0.254599732304776,0,0,0,0.107553128515046,0,0,0.127404394964171,0,0.339865126180912,0,0.170155001568963,0
"-573_2330",0,0,0,0.0981614181242283,0,0.0699506356548146,0,0.289914546215829,0,0,0.00218113946965096,0,0.381468446309569,0,0.0176455179738036,0,0,0,0,0,0.140678296252105,0,0
"-783_2120",0,0.340607128219991,0,0,7.13449559606417e-20,0.301203287142927,0,0,0,0.000980049384138456,0,0,0,0,0.0643949376566035,0.112215859565162,0,0,0,0,0.180598738031178,0,0
"-518_2235",0,0,0.0353456466165281,0.059497240984866,0.205107638243283,0.140119150772999,0,0.0605789131132185,0.154854365740046,-6.81062107807078e-20,0,0,0,0,0.0179564857803175,0,0,0,0,0,0.326540558748742,0,0
"-543_2425",0,0,0,0,0.257195116885744,0.000200364771345795,0,0,0,0,0,0,0.346978429005098,0,0.26878532592784,0,0,0,0,0,0.126840763409972,0,0
"-593_2280",0,0,0,0,0,0.000245242272090609,0.167452939912844,0.416210404160607,0,0,0,0,0,0.211692053664247,0,0,0,0,0,0.0275170226104641,0.176882337379748,0,0
"-828_2115",0,0,0,0.0962225651131174,0,0.11731616143518,0,0,0,0.00625854773907491,-5.90544953965388e-19,0,0,0,0,0,0,0,0,0.589775188319774,0.190427537392854,0,0
"-613_2170",0.0147520100476098,0,0,0,0,0,0,0.647911926748121,0,4.11605407180776e-19,0,0,0,0,0,0,0,0,0,0,0.336980391291197,0,0.000355671913071859
"-638_2080",0,0,0,0,0,0.065300660662715,0,0.904762340475802,0,-4.92129667450868e-18,0,0,0,1.41263961046768e-05,0.0298839159705956,0,0,0,0,0,3.89564947829848e-05,0,0
"-778_2200",0,0,0,0,0,0,0,0,0.764637163840727,0.0521789689216999,0,0,0,0,0,0,0,0,0,0,0.183183867237573,0,0
"-743_2120",0,0,0,0,0,0,0,0.0878910928324537,0,0.87018175708229,0,0,0,0,0,0,0,0,0,0,0.0419271500852559,0,0
