cell_label,class
217839910921298000458466561717167939034,05 OB-IMN GABA
304919227985773297962865651174734952400,05 OB-IMN GABA
10622381454533880050684261620790220794,05 OB-IMN GABA
112310147483827479038972622131201270086,05 OB-IMN GABA
152962832597432266580941818995106986756,30 Astro-Epen
170903990210983880517071396205563790440,03 OB-CR Glut
203515573930305728552278682076737461767,30 Astro-Epen
225164706715266855304623655539048180888,05 OB-IMN GABA
229796122407646178250411987894126532280,05 OB-IMN GABA
238766940556896875702085782799612011393,05 OB-IMN GABA
238812074030678082404639823817979916076,05 OB-IMN GABA
249356106458760266679436106773061652990,34 Immune
256327908269271476304949032946387371646,33 Vascular
303778608641684803967147330181143569624,05 OB-IMN GABA
328121819592664514775287756569445997411,05 OB-IMN GABA
333177742234520328304637183262221650538,05 OB-IMN GABA
54798684041407518554352139824307139957,05 OB-IMN GABA
64686968675117608671951437043395759834,05 OB-IMN GABA
66729013768566544757749261261351086553,33 Vascular
68019753148473777047035217541757915323,05 OB-IMN GABA
6851319122331331779533383767868849935,05 OB-IMN GABA
98214367165345284285748865291077737427,05 OB-IMN GABA
115624603080691755242805501663821168197,05 OB-IMN GABA
11864727143021761792377968668128810375,30 Astro-Epen
118679468694052613293368369685626871839,05 OB-IMN GABA
153203408871865042601234966299033567930,05 OB-IMN GABA
164053582573369267148694458419530176944,05 OB-IMN GABA
170706475511158211474447250519095972893,05 OB-IMN GABA
240699871749842968396685658485074016022,03 OB-CR Glut
267475219643018061715982551967501380749,05 OB-IMN GABA
267642788629779202084449059978396503575,33 Vascular
315492084028176444680372883977260324435,30 Astro-Epen
108315622440022527317452211043174641756,33 Vascular
194771772324952745335559919725029289759,05 OB-IMN GABA
275120161544636424299164207517234339836,33 Vascular
277009628421835303249117466858638863335,05 OB-IMN GABA
326412395202222381645841803766646219940,34 Immune
74312487237248542032486695907464998425,33 Vascular
97147075295920068942217138269365588971,30 Astro-Epen
10497123405737031944799065028462108559,05 OB-IMN GABA
127843414453654174858182975490035066085,33 Vascular
129950766939997997348383783567388325544,05 OB-IMN GABA
129977336689429343212536675544131086457,33 Vascular
156764578882839125366347289286941002814,05 OB-IMN GABA
165775552804691248392177288562008523721,33 Vascular
170423544398868616239905527475411160120,30 Astro-Epen
17500035806745068958349428430966638663,03 OB-CR Glut
178206787360719729675842135809335156395,05 OB-IMN GABA
207758326677325658456425900396470780484,03 OB-CR Glut
213927709940015261729973494931062446404,03 OB-CR Glut
214137060147321957612176971155551802431,03 OB-CR Glut
214950788478125667590427042812616795413,03 OB-CR Glut
219022167654807135280271851589394775944,05 OB-IMN GABA
233287955178072539658115396882956644758,30 Astro-Epen
263130859717959214433326675155126081906,30 Astro-Epen
281084121688959495133424327667788770643,05 OB-IMN GABA
286667872121729613864289865216569207135,05 OB-IMN GABA
310594930851263333147189956563290294254,03 OB-CR Glut
85919510355622793983301321765127245596,30 Astro-Epen
101144803741506674458950949374533191446,05 OB-IMN GABA
101420090814814863258239993111312591606,05 OB-IMN GABA
107018103786979617473444631342468526056,05 OB-IMN GABA
108040273628342850775468509993228847,03 OB-CR Glut
10819192480292303131054945094756918487,05 OB-IMN GABA
109980061019322166173832118096109649684,05 OB-IMN GABA
115202507885679403200678233566083625086,05 OB-IMN GABA
116870234328006511503701935497512829756,30 Astro-Epen
116909780328510540418016323703753755583,05 OB-IMN GABA
116962138542850666396396820627637462850,30 Astro-Epen
118694866430492163306341589619909299427,05 OB-IMN GABA
123469199700992756186327016243895324973,05 OB-IMN GABA
127825225824016755700119092204135329782,05 OB-IMN GABA
129743435120427573720745800049799786797,05 OB-IMN GABA
130423801323202828916533205005156821584,05 OB-IMN GABA
135667357744896536434545561882740664684,05 OB-IMN GABA
136800563307058975540582057085911493522,05 OB-IMN GABA
137537962355272177874039813684177531933,03 OB-CR Glut
140330136546985261870528150842758368538,03 OB-CR Glut
141415207390188162866052972982644818064,30 Astro-Epen
14207623800317131922731394358088099814,05 OB-IMN GABA
143142547564592196404838250293464596060,05 OB-IMN GABA
147376925902598125745878396569401056440,31 OPC-Oligo
147748596948375040128639654529639284644,05 OB-IMN GABA
150839917394789777208746993919079949390,30 Astro-Epen
153934578906760172756836064672530622892,33 Vascular
17186737904372584945094140841170083964,33 Vascular
173077585659098574436271730885472343732,05 OB-IMN GABA
173955292741842236509744936136427493862,03 OB-CR Glut
174931189273354871010680718313654760549,05 OB-IMN GABA
175530399956330367718491360790938024336,33 Vascular
177264846312155757769183230004270177599,03 OB-CR Glut
181794965929604771399136883610435775730,05 OB-IMN GABA
181924420732594546741648184906893646276,03 OB-CR Glut
183228548178071689910657569667850985999,05 OB-IMN GABA
186552764165105269676564481284097046028,05 OB-IMN GABA
200539447946354237649217669299906123883,03 OB-CR Glut
204551116568135760973857031910510538784,03 OB-CR Glut
210205020768549001760843286022090750608,03 OB-CR Glut
210325663962817075405080379498866399434,05 OB-IMN GABA
219390376279079556125750250291056142193,05 OB-IMN GABA
232511457084354432413477597299264038372,03 OB-CR Glut
236912597370085685769017950383632498357,03 OB-CR Glut
237014243480024694803642920938438778920,05 OB-IMN GABA
23926362034064866303682975262214111943,03 OB-CR Glut
245110940115642051417299627211924077454,31 OPC-Oligo
247548568397978943658109844594092173602,05 OB-IMN GABA
247921748077114889115642075122829013316,30 Astro-Epen
