,n_counts
3,145.0
4,242.0
5,791.0
6,2607.0
7,908.0
8,1537.0
9,619.0
10,550.0
20,115.0
21,917.0
22,1081.0
23,1898.0
24,855.0
25,758.0
26,681.0
27,425.0
28,421.0
29,297.0
40,85.0
41,420.0
42,154.0
43,476.0
44,470.0
45,356.0
47,356.0
48,177.0
49,591.0
50,837.0
51,471.0
52,361.0
53,458.0
55,641.0
58,340.0
75,104.0
76,708.0
77,2091.0
78,1193.0
79,390.0
80,816.0
81,1026.0
82,1225.0
83,579.0
84,1611.0
85,2050.0
86,3729.0
87,1558.0
88,1010.0
89,997.0
90,339.0
94,635.0
96,1898.0
97,397.0
118,201.0
120,534.0
121,1121.0
122,735.0
123,889.0
124,1235.0
125,1310.0
126,616.0
127,1678.0
128,2098.0
129,1365.0
130,631.0
131,263.0
132,1952.0
133,1798.0
134,1084.0
135,672.0
137,841.0
138,553.0
140,2051.0
141,1733.0
143,1370.0
147,176.0
148,343.0
149,904.0
150,387.0
151,145.0
152,795.0
153,414.0
154,285.0
171,77.0
172,711.0
173,372.0
174,2289.0
175,533.0
176,624.0
177,997.0
178,202.0
179,974.0
180,1008.0
181,1003.0
182,1207.0
183,745.0
184,758.0
185,2885.0
186,2251.0
187,1039.0
188,1046.0
189,546.0
190,920.0
191,1392.0
192,194.0
193,503.0
194,1840.0
195,347.0
196,1182.0
197,800.0
198,568.0
199,458.0
200,764.0
201,951.0
202,230.0
203,766.0
204,551.0
205,155.0
206,364.0
207,987.0
208,1169.0
209,467.0
212,1395.0
213,1195.0
214,569.0
215,764.0
216,600.0
230,694.0
231,601.0
232,300.0
233,481.0
234,60.0
235,774.0
236,825.0
237,1275.0
238,1011.0
239,609.0
240,457.0
241,1002.0
242,108.0
244,1797.0
245,180.0
246,622.0
247,684.0
248,200.0
250,178.0
251,1864.0
252,1586.0
253,390.0
254,642.0
255,2133.0
256,372.0
257,362.0
258,720.0
259,784.0
260,49.0
261,775.0
262,1111.0
263,94.0
264,400.0
265,510.0
266,410.0
268,1091.0
269,589.0
270,1201.0
271,479.0
274,1219.0
275,1246.0
276,233.0
277,522.0
278,869.0
279,1077.0
280,78.0
290,327.0
291,2094.0
293,366.0
294,1918.0
295,284.0
296,193.0
297,975.0
299,699.0
300,624.0
301,568.0
302,354.0
303,431.0
304,482.0
305,707.0
306,627.0
307,841.0
308,333.0
310,654.0
311,830.0
312,638.0
313,962.0
314,2679.0
315,2042.0
316,2593.0
317,46.0
318,793.0
319,696.0
320,738.0
321,1385.0
323,1301.0
324,1961.0
325,700.0
326,386.0
327,696.0
328,762.0
329,362.0
331,435.0
333,207.0
334,825.0
335,262.0
337,347.0
338,1745.0
339,1612.0
340,1678.0
341,622.0
342,1026.0
343,1141.0
344,1130.0
345,597.0
354,1241.0
355,225.0
356,738.0
357,159.0
358,64.0
360,159.0
361,293.0
363,621.0
364,512.0
365,483.0
366,295.0
368,305.0
369,540.0
370,399.0
371,263.0
372,403.0
374,294.0
376,828.0
378,783.0
379,882.0
380,1323.0
381,1387.0
382,53.0
383,1537.0
386,1413.0
388,248.0
389,1789.0
390,937.0
391,409.0
392,1023.0
394,805.0
396,172.0
397,236.0
398,1692.0
399,508.0
400,513.0
401,623.0
402,301.0
403,170.0
404,194.0
405,331.0
406,777.0
407,244.0
408,722.0
409,164.0
410,266.0
411,601.0
412,836.0
419,469.0
420,519.0
421,270.0
422,506.0
423,202.0
426,1507.0
427,886.0
428,1656.0
429,637.0
430,415.0
431,100.0
432,83.0
433,501.0
434,292.0
435,452.0
437,294.0
439,749.0
441,308.0
442,271.0
443,221.0
444,398.0
445,1560.0
446,466.0
447,355.0
448,127.0
449,1328.0
450,2473.0
451,1224.0
452,1015.0
453,746.0
454,540.0
455,235.0
456,490.0
457,1527.0
458,1558.0
459,1050.0
460,900.0
461,266.0
462,686.0
463,300.0
464,889.0
465,547.0
467,950.0
469,513.0
470,268.0
471,139.0
472,1072.0
474,862.0
475,92.0
476,618.0
477,654.0
478,603.0
479,273.0
480,521.0
481,495.0
486,456.0
487,163.0
489,683.0
491,875.0
492,301.0
493,914.0
494,544.0
495,561.0
496,662.0
497,1083.0
498,617.0
500,760.0
501,372.0
502,1291.0
503,602.0
504,431.0
505,679.0
506,146.0
509,834.0
511,635.0
513,964.0
514,1248.0
515,1104.0
516,540.0
517,2551.0
518,2133.0
519,579.0
520,311.0
521,533.0
522,864.0
523,1402.0
524,1359.0
525,561.0
526,365.0
527,1646.0
528,1013.0
529,779.0
530,201.0
532,543.0
535,326.0
537,378.0
539,476.0
540,414.0
541,769.0
545,409.0
546,282.0
547,734.0
549,463.0
550,756.0
551,1033.0
555,369.0
556,1288.0
557,638.0
558,625.0
560,726.0
561,451.0
562,398.0
563,684.0
564,631.0
565,659.0
566,939.0
567,169.0
568,514.0
569,671.0
570,289.0
571,208.0
572,673.0
573,1006.0
574,690.0
575,2246.0
576,848.0
577,672.0
578,686.0
579,261.0
581,654.0
582,819.0
583,692.0
584,1122.0
585,338.0
586,2105.0
587,2121.0
588,2817.0
589,283.0
590,1203.0
592,1684.0
593,1808.0
594,1026.0
595,599.0
596,1952.0
597,1208.0
598,1705.0
599,1716.0
603,222.0
604,379.0
605,342.0
608,250.0
609,892.0
610,1044.0
611,606.0
613,369.0
614,1614.0
615,470.0
616,1231.0
617,501.0
618,935.0
619,728.0
621,245.0
622,1025.0
623,1203.0
627,1581.0
628,673.0
629,577.0
630,151.0
631,1107.0
632,1551.0
633,512.0
634,358.0
635,465.0
636,551.0
637,1258.0
639,645.0
640,578.0
641,237.0
642,758.0
643,356.0
644,1328.0
645,869.0
647,310.0
648,852.0
649,509.0
650,786.0
652,49.0
653,792.0
654,1705.0
655,278.0
656,194.0
657,601.0
658,190.0
659,2664.0
660,1736.0
661,898.0
664,1307.0
665,1415.0
666,1653.0
667,967.0
668,1083.0
669,715.0
670,592.0
671,873.0
672,567.0
675,252.0
676,452.0
678,1123.0
679,606.0
680,290.0
681,251.0
682,462.0
683,323.0
684,373.0
685,231.0
686,744.0
687,188.0
688,414.0
689,673.0
690,1062.0
691,1429.0
692,946.0
693,671.0
694,1055.0
695,940.0
696,1155.0
699,873.0
700,2633.0
701,946.0
702,45.0
703,511.0
704,1339.0
705,675.0
706,283.0
707,958.0
708,456.0
709,707.0
710,217.0
711,752.0
712,400.0
713,615.0
714,972.0
715,619.0
716,523.0
717,1019.0
718,434.0
719,1886.0
720,1013.0
721,253.0
722,1995.0
723,1298.0
724,160.0
726,249.0
727,709.0
728,1235.0
729,185.0
730,627.0
731,1296.0
732,301.0
734,197.0
738,950.0
739,2041.0
740,2062.0
741,201.0
742,676.0
743,1897.0
744,727.0
745,732.0
746,13.0
747,1266.0
749,339.0
750,256.0
751,306.0
752,1339.0
753,863.0
754,517.0
755,231.0
756,710.0
757,698.0
758,1266.0
759,818.0
760,709.0
761,723.0
762,291.0
763,501.0
764,496.0
765,157.0
766,456.0
767,897.0
768,452.0
769,567.0
770,302.0
771,1930.0
772,732.0
775,1179.0
776,715.0
778,325.0
779,845.0
780,311.0
781,812.0
782,265.0
783,265.0
784,935.0
785,1466.0
786,1045.0
787,1074.0
788,940.0
789,824.0
790,845.0
791,1021.0
792,1100.0
793,1464.0
794,158.0
795,518.0
796,455.0
797,901.0
798,146.0
799,1626.0
800,568.0
803,78.0
805,359.0
806,476.0
807,1297.0
808,1463.0
809,463.0
810,1412.0
813,325.0
814,872.0
815,288.0
816,275.0
817,542.0
819,404.0
820,644.0
821,844.0
824,164.0
825,459.0
828,660.0
829,957.0
830,52.0
831,402.0
832,1327.0
833,884.0
834,1046.0
835,1120.0
836,509.0
837,1218.0
838,647.0
839,698.0
840,596.0
841,758.0
842,279.0
843,404.0
844,626.0
845,420.0
846,163.0
847,723.0
848,659.0
849,259.0
851,828.0
852,1063.0
853,296.0
855,261.0
856,1100.0
857,842.0
858,293.0
859,782.0
860,294.0
861,1553.0
862,1953.0
863,2513.0
864,1455.0
865,1877.0
866,1581.0
867,1128.0
868,544.0
869,667.0
870,808.0
871,433.0
872,187.0
873,667.0
874,422.0
875,1297.0
876,1222.0
877,642.0
878,328.0
880,294.0
881,289.0
882,743.0
883,486.0
884,2487.0
885,1745.0
886,447.0
888,262.0
889,192.0
890,948.0
891,202.0
892,1138.0
893,1412.0
894,828.0
895,489.0
896,2211.0
897,1048.0
898,270.0
899,207.0
902,436.0
903,432.0
904,1452.0
905,333.0
906,243.0
907,1824.0
908,665.0
909,237.0
910,426.0
911,968.0
912,573.0
913,462.0
914,443.0
915,694.0
916,1067.0
917,508.0
918,817.0
919,552.0
920,351.0
921,752.0
922,924.0
923,302.0
924,333.0
