"","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"3",2.1742197987459e-06,7.78877909970194e-09,0.00052650120870734,0.0106244502947189,0.801881761338311,0.0252801133206453,0.0898275645854761,0.011633138198399,0.000166693173981348,0.000139781109462988,0.0311091182888998,0.000581415846353081,0.0178791098942984,7.15530120119469e-07,0.010347455202049
"4",0.0229024335415343,0.0128798990982397,7.49122645019497e-05,0.0371009991033906,0.0311576026687943,0.00600604767205272,0.128157545549646,0.0135829167988939,0.094351390905324,0.116327893736318,0.0577938573270516,0.207051554376052,0.0662975796936156,0.000525137665549977,0.205790229599035
"5",0.0620824724598457,0.233728067700426,3.10026178272243e-05,0.000614576326118387,0.00464089815118945,0.00154255073088721,0.0992854446840157,0.0398127697832397,0.193727825612453,0.017921769676537,0.0880961325539757,0.127834938676574,0.0190111803786146,0.0189062946054919,0.0927640760428045
"6",0.125118469790162,0.0555127049650707,4.11513520575528e-07,0.00889698588514035,0.0176523087208018,0.0333422409350951,0.027975454378866,0.0289583234243406,0.139969392145335,0.16498371038354,0.0863249537609164,0.303708068576022,0.00108302310632765,0.000975579214659443,0.00549837320020247
"7",0.051897400948685,0.00996234713549973,0.0206992611868385,0.0734217575469293,0.0101535264525989,0.0346617304991217,0.0890505195900085,0.0716830859746413,0.145731198339145,0.0845869046365754,0.0219756175407551,0.205641962757201,0.0679827073430062,0.0476532245908349,0.064898755458159
"8",0.0198581304928464,0.00912430588917559,0.015001699777665,0.00208491644246299,0.000866486677034794,5.61842081292054e-06,0.460783781969978,0.0122391161209292,0.00662002666844693,0.0817900999101786,0.010238000392293,0.0106064741640567,0.156841343018561,0.0034640842966528,0.210475915758906
"9",8.09171475217367e-05,0.000846398826089597,4.00226371652708e-06,0.0644248597987814,0.281178818847073,7.40891199448313e-06,0.161812062627381,0.000373882215005019,0.229236870044184,0.000129026540916667,0.0945882355475648,0.0534586828404346,0.0391807484923741,0.000579121405342385,0.0740989644916197
"16",0.0411814384751839,5.35263717330678e-06,1.6371862507246e-07,0.000219653121435601,0.818974319655102,5.03913535716534e-06,0.0309896492920707,0.0231512555698516,3.49763342887462e-05,2.40091279755669e-06,0.083777110115329,4.2635952439966e-07,5.53123655604761e-06,3.29343154042369e-05,0.00161974912130044
"17",5.62151883234098e-05,0.0442850258525901,0.000505388519864545,0.0382484252702956,0.136449082181436,0.00307953012037167,0.28449164124788,5.25803304488951e-05,0.107230486299788,0.000527582733740957,0.0123723497349707,0.0200200796129099,0.0739952597190903,0.000616299676615861,0.278070053511674
"18",0.588718350046323,0.0020208673581505,5.22413194394297e-06,0.0333343236224205,0.000183996640110126,0.00129030849515168,0.0220607180740544,0.215068353546336,0.00456424798633173,0.0224996246599115,7.40094549504443e-05,0.00191026493899273,0.000262723475732256,0.107927167893021,7.98196765699237e-05
