"","30 Astro-Epen","05 OB-IMN GABA","13 CNU-HYa Glut","32 OEC","34 Immune","10 LSX GABA","33 Vascular","03 OB-CR Glut","31 OPC-Oligo","14 HY Glut","12 HY GABA","09 CNU-LGE GABA","07 CTX-MGE GABA","06 CTX-CGE GABA","11 CNU-HYa GABA","01 IT-ET Glut","29 CB Glut"
"11",0.0377098310744708,0.10343405744735,0.000163148088716461,0.350990168954896,0.023765469360998,0.163247370594525,0.0140392246777786,1.86452313053374e-06,0.00124972548692114,8.33283516157745e-07,0.0430272099297377,0.023602060958685,0.00435967199166809,0.0424737637824402,0.00776721922414804,2.60928751296979e-06,0.184165771333505
"12",0.191451105253125,0.152357434813824,8.42066816696982e-05,0.316660791154075,0.0237596991478356,0.187336883821517,0.00423698604295856,2.54961377830196e-05,0.000738022540506565,0.00150008382175315,0.00126381108931242,0.0677271700189749,0.00450361911763553,0.00309423920844111,0.0451908422941829,4.10442447985062e-05,2.85646116061441e-05
"13",6.00512980594318e-09,0.000371173761088441,8.61942643445218e-06,2.02823545625489e-11,0.0001875219088393,1.42435828934931e-06,0.98922641772478,0.000114228982886522,1.18627496596288e-08,2.3740164786166e-05,1.14576267788457e-05,1.66408815186256e-06,5.18134538637272e-06,0.000136157615493753,1.75696304650116e-07,0.000324193626763977,0.0095880257858545
"36",0.000794554438979556,0.00715244022309653,0.00160766132760387,0.279305179509927,0.34278980288972,0.0281762696506096,0.332345734092888,1.92408590497005e-05,0.000301164504589429,1.49066470569533e-05,0.00116275378141467,6.61578559456629e-06,2.22153946926878e-09,0.00617325536065376,1.26660123244662e-06,0.000148877414921035,2.74691123253122e-07
"37",4.07640128150418e-06,0.0364068980874007,1.08690532496266e-05,0.445142085053226,0.00582451181447007,0.335080324146223,0.128725095996277,4.48164504375056e-09,0.000128672922831285,5.44869045231423e-07,0.0282734544165376,0.000113506277644374,0.0118532700380848,0.00364780803839603,0.00349441612577697,1.35200208796809e-07,0.00129432707770263
"38",0.873213111946807,0.00216662424336452,0.00869817083755722,0.00284374031507644,0.000485726229273859,0.0484928308131429,0.0104510275752477,0.000319237753675361,0.0169705800457669,8.12615846791634e-05,0.03524212286353,2.89665819314968e-05,1.53656935672414e-12,0.000677093313056298,0.00028694186160974,4.25640268300027e-05,6.91479293055257e-12
"39",0.0727093801878293,0.174468613073819,0.000510542544785486,0.00692586012607855,0.003154485337877,0.379191805359497,0.14346414038279,2.48574763074361e-06,0.00704118689490503,1.31353195886724e-06,0.0558416921333466,0.0191496690876794,0.00248536419102407,0.0255142692582275,7.5536830369686e-08,2.77857960444266e-05,0.109511330809677
"40",5.71627392566821e-05,0.190180167441061,5.40274179422497e-07,4.62778332393365e-05,0.00113591206952632,0.763281326915006,0.00772381582548691,3.17445993507401e-09,0.00606214741302577,2.14681353708336e-10,0.0152787771876632,0.000278877780558286,0.000457826142544877,0.0154927289158962,2.04998415094245e-06,2.81736063913036e-10,2.38580752774348e-06
"41",0.000134725583650423,0.627096987979093,8.56350455818442e-05,0.0237442513510728,0.00674314276518023,0.209237446019189,8.02627793805278e-05,0.0021305871526848,0.00535128920502418,0.0184208781181154,0.00234212282769878,0.00242819098789116,0.00370307425790765,0.0156525185097899,0.077962609736741,0.0048862671541552,1.0526844086768e-08
"44",0.00335595350641166,0.00135950484878653,2.26308157791168e-05,0.100152646707756,0.0374643533928681,0.301642401164756,0.51018603195544,1.08713929598012e-13,0.0269773797739504,5.1890969119081e-09,0.00395013093211011,3.18667254908985e-07,2.78163260155552e-09,0.0148884552384005,1.85023955008498e-07,1.68092017556542e-12,1.26969511294176e-14
"45",7.2430827716402e-09,0.0188068421163809,7.18280000238936e-13,0.0757386333743231,8.89109502396422e-06,0.00800174918890435,0.723793976489539,1.82032755049288e-15,0.12403767228227,9.04321498855681e-11,3.617693264968e-05,0.00134638491669538,1.10834371048727e-09,1.66318086665503e-10,0.0482296649952828,2.26615095989016e-14,1.09989313007648e-14
"74",8.72568677097911e-09,0.0395165288484223,0.00085193443851078,0.0644773542381672,0.0350179879000594,0.0110042171654021,0.75544869994769,1.587280703492e-05,0.00190041471592625,7.11444741596461e-05,0.0275551736895732,0.00134263976625613,2.88598092459146e-07,0.0585726897156488,1.38369172928345e-10,0.0013036603558293,0.002921384475171
"76",7.85830293430844e-07,0.00244740645081956,3.85581268606563e-05,0.202605515057944,0.0155761408004875,5.66961917745918e-05,0.76220337981318,0.000177999279272182,4.09584125512906e-05,0.00133679942305182,2.26033427524898e-05,0.00387736482153323,0.00013688033231436,0.000583841496276039,0.00968890516678676,0.00115686655989216,4.9298894209686e-05
"77",0.000407181191761548,0.0484211234352236,0.00226954147695696,0.074759465358372,0.0690302297354374,0.0168256651940849,0.767087945915703,1.0514039259419e-05,0.00312107381803093,0.000164873195454022,0.00322919473419795,0.0140112132666431,6.46606664869403e-07,0.000605850104439841,2.14531251775311e-11,4.76100167847714e-05,7.87188953240945e-06
"78",3.07919375296917e-05,0.0169933880548288,0.000182454234198311,0.801718817445123,4.955796544967e-05,0.102848377086372,0.00110546310038816,1.53153221025325e-05,0.00251214026468139,0.0118592144310797,0.0277321553359964,0.0245137584116646,0.000137393098296028,0.0102581121470096,4.17651469120887e-05,1.19025050918987e-06,1.05767858543682e-07
"79",0.00345171521510589,0.210759564749594,4.3695247097867e-07,0.0457393835461853,0.0855356971672602,0.562495330334798,0.00804299250702751,3.38036882221263e-12,0.00851120124593634,2.18145241085243e-09,0.0183254656505671,0.0015538715545064,0.00347813012249897,0.0186778797208689,9.31972141075225e-06,6.92951353136622e-12,0.0334190093200067
"80",0.115091960238512,0.137533102378994,7.57967350679546e-05,0.0104699090021262,0.0671134321204542,0.295145539295046,0.00951611006576933,1.45069313301814e-07,0.0587886946111279,1.54273516798178e-08,0.0524670052105169,0.0189620927995194,0.0454494416061149,0.0695100156752568,0.0237579790543753,1.74280422252918e-07,0.0961185864300321
"81",0.103973744181705,0.0222349885477342,0.000235943737585841,0.00688485785427176,0.00292807227618319,0.428560084307081,0.0432184006577227,0.0869217135583114,0.000479374199914202,1.30502763654469e-05,0.0809308526629087,0.0801272535351764,0.0130334681612474,0.00888840834684962,0.0377981459102032,0.00107356895193628,0.0826980728348033
"82",0.00024057770603895,0.150374158240301,0.000143451480050175,0.0188294576750202,0.00746750453769422,0.316540423760806,0.369433713012811,2.98893358174864e-06,0.00900479471025621,6.45387340365805e-07,0.0511024677685866,0.0211700791928204,0.00697664141929241,0.0205013647400411,0.0145202671814969,4.81448916270047e-05,0.0136433193622358
"88",8.21004137234651e-14,2.23751949963066e-10,1.10389728932417e-05,4.50887900435282e-08,5.06336750048483e-10,0.268187619039094,1.34738231781544e-14,0.530745246089017,7.82657986368853e-08,0.000242255860517605,0.200104752106969,1.75559825422755e-10,2.56942268090184e-06,1.85291079665292e-10,3.72025911686972e-10,0.000706393691178401,6.06300907709638e-16
"89",7.94288742615912e-05,0.0978820947054078,0.0198457779042855,0.0209050894703152,0.0455860497088452,9.97317203150315e-08,0.553706467658781,0.0699019525841345,0.0428591257243161,0.000908960113469827,5.98840083342112e-05,0.0739900430992284,6.68441622424218e-10,0.0342177240262262,4.110733682873e-22,0.0400573017222331,2.69988053364922e-23
"90",0.118314992911355,0.00020866350658891,6.25404505614579e-07,0.860733275193205,0.000159510650857486,0.00467414265473217,0.000468885314998222,1.39616363423361e-08,1.19151656929566e-05,3.17317422712371e-09,8.44504789980681e-05,7.4283121189034e-08,0.000795493870855361,3.76174883783769e-06,0.0144563073820946,3.72858852360201e-08,8.7847013460933e-05
"91",0.0313135156130591,2.01280930904815e-05,0.000102083601888084,0.310173974661019,0.103131109293085,0.170814474789619,0.383883970067373,1.63121254695227e-08,0.000305765205700324,1.00773914763925e-05,0.000238163448700544,2.33254091195005e-08,4.68263696683914e-10,6.41192344388124e-08,2.24804306855046e-06,1.92918873271646e-07,4.19264801558046e-06
"92",0.140341231421381,2.96918316452533e-05,0.000530925124921135,0.209147914285468,0.138693469474458,0.149341821144963,0.360532708740018,4.32923976601234e-08,0.000235429470899821,5.01467219429381e-05,0.000554838478904047,5.84182189766704e-06,7.63075647321171e-10,0.000519821365490813,1.5930829645613e-05,1.1394294741229e-07,7.128994375737e-08
"93",0.0657074735005615,0.000216639733352211,0.000265899527752919,0.572253500932003,0.0188648060625912,0.125874131059065,0.21323244620296,1.06073022182846e-07,8.39906464451476e-05,1.07711527559644e-05,0.00340253516623029,3.86235062632688e-05,4.82004955262182e-09,5.08646135282504e-06,4.39022244796359e-05,3.43808580480744e-08,4.85502573787597e-08
"94",0.0422924697805256,0.125532065680734,1.76416129294726e-06,0.195792242740079,0.00883597087266939,0.30646900398393,0.170110864962592,6.26602649365371e-10,0.0699143764287273,5.31701132385166e-08,0.0524068640564505,0.00150245677842095,0.00859497133280117,0.0137404256678315,0.000245888987563069,2.93522230052294e-09,0.00456057783444492
"95",0.000223659193556267,0.13932720918787,3.17399652626863e-06,0.155630955032547,0.115935686922463,0.250515460546997,0.0728763061802927,1.44897660569631e-07,0.015388290838756,8.43400732014418e-06,0.0141920007614696,0.0182121252942378,0.0985592154930213,0.0204926430835864,0.0564977379764104,2.58904698476444e-07,0.042136697682587
"96",0.00328383168557156,0.183221618031274,2.48067758838318e-05,0.397683725573872,0.0236516874658546,0.250016817109387,0.0335995611254258,2.06423196015999e-07,0.00255913427369208,0.00061515073365719,0.0183770101786601,0.00769841506892337,0.0147858238657273,0.027551985962391,0.0368541064796853,6.19398289321686e-08,7.60573069707185e-05
"97",0.000201491657625373,0.144358920755889,4.57865829895584e-06,0.227898284599526,0.0574618909546185,0.457527950194724,0.0299927413991386,1.01064202314614e-09,0.0240450712725541,1.54782643024793e-06,0.00912809108648928,0.00457992661429557,0.0286372446274369,0.0123552256921143,0.00372442734331785,1.75353783358105e-09,8.26045533616874e-05
"98",0.00050488049298935,0.00132227045194962,0.00230411137540088,0.559161928974725,0.00449444527146163,0.0865863496415621,0.32824571170726,1.34890967719464e-05,0.00947620691593219,0.00165328418486584,0.00507569200795394,0.00115480920023221,5.91253384406295e-10,1.10276300265268e-06,5.36516605565822e-08,5.65343967976116e-06,1.02332990867418e-08
"99",0.00627633508598609,0.103629379158504,5.66495317973305e-05,0.244516857148016,0.0327849174413681,0.143376430902575,0.417496132576373,3.85145036058664e-06,0.000741333505611748,0.000191342343067389,0.00271951305391248,0.00884739386164594,0.00434608861609477,0.00317135174690803,0.0315017091098323,1.51757865418971e-05,0.000325538681404719
"100",0.000542277581109315,0.0274787117248548,3.85780700708459e-05,0.264485673499063,0.015981888975749,0.102574586996385,0.552432149203603,3.77079736520244e-08,0.0327698997432599,1.16464226391298e-05,0.000162379294707871,0.00340748772062675,8.10215482248241e-05,1.45693119729409e-05,1.87169644967777e-05,3.73787434845779e-07,1.44782825606437e-09
"101",7.3889285547423e-05,0.092971949375498,5.3508944131468e-07,0.0720489329473668,0.000916952055998977,0.168968757967798,0.520081895352532,1.86840455718497e-10,0.104074767155323,8.8003764947143e-07,0.0354792650867347,0.00133186511801754,0.000836676785530282,0.00107151924158262,4.99544877882972e-07,2.67488530318066e-12,0.0021416147665864
"102",0.0529291631042031,0.0132305037024306,9.57096260955576e-07,0.0155050087389554,0.121254563264503,0.331579559962942,0.337848084567566,5.91169679175885e-12,0.0683738293979966,4.00003458335786e-09,0.00805427432760962,2.98341437607384e-05,4.82002764381547e-05,0.00433722511387926,0.0014648169996113,4.46652925849191e-09,0.045343970831368
"103",2.09933922394564e-10,0.00191788697693475,1.93236785656539e-06,0.0542378483670362,0.00424066181031555,0.112240459268264,0.639435143431777,3.98955658265219e-10,0.100366736216449,0.0391543693743382,0.00244108653639353,0.0389250251056793,0.0070384351493512,4.70286652442987e-10,8.24787327601889e-11,3.33329259316076e-10,4.13900620781748e-07
"123",0.0206888432362222,0.00408159317262221,1.01463762538063e-05,0.311566828066917,0.0362542384032311,0.175314570493252,0.445826133931706,5.40962607263463e-11,0.000394733639456267,8.49473199766678e-10,0.00312839758616876,0.00268327645467684,2.69905966813644e-14,5.11607440547671e-05,5.58812657912975e-09,7.25810659093886e-09,6.41456094424113e-08
"124",9.53271562933016e-05,0.0850999203040953,4.11365158638277e-06,0.0387619575960549,0.033000460721284,0.212479314853632,0.532934035625895,5.76027650477926e-07,0.00847425288799313,1.01879687183363e-07,0.0107173902416616,0.00257789461446368,0.0333832018637662,0.00162870988519073,2.27046832613195e-05,0.000481899617155815,0.0403381383903299
"125",0.00744028931843642,0.139711874820674,0.00247280112613435,0.231665123035289,0.0293132907433391,0.000890574768306088,0.415285560107796,3.83011676707795e-05,0.140211103978681,6.11365538711869e-08,0.0166660924979522,0.00296639937588007,9.3898102307035e-09,0.00214310409798463,5.16566133074276e-12,0.0111954144303264,5.27562994278985e-17
"126",0.119777579742124,7.41427283256838e-06,3.08404487271243e-07,0.176793426480465,0.143844375036604,0.216396416796342,0.325892447671736,9.56550623667391e-13,8.04738180816992e-10,3.35721359674964e-09,1.55280743269504e-07,2.01997475381779e-08,4.3721994630402e-19,5.02236367401833e-05,0.0172376280584611,2.28471942132358e-10,2.83372532882258e-11
"127",2.32477025235015e-05,0.0752183619667942,2.89826096332847e-05,0.10257160962271,0.0472085864062877,0.0731837293333604,0.586037803880799,6.57051884649135e-06,9.76602026824877e-05,4.05404467918362e-06,0.0251722674172207,0.0198681311767626,4.81504354855915e-05,0.0146450778726939,3.93532646778951e-08,0.000136010397207701,0.0557497170590485
"128",0.000978571047816194,0.016151626598263,0.00614804938796462,0.891332493787545,0.00038082441420565,0.00577262217024594,0.0167640973544056,0.0025198322681567,2.08754256929498e-05,0.0154567405032748,0.00318524055660042,0.0341018185784337,3.71782859284945e-07,0.00525722240917944,2.87791244454051e-08,0.00140914782133431,0.000520437114898429
"129",0.0191918690978709,0.321684315315765,7.21041625745337e-06,0.0137152175166202,0.00269091166344119,0.412264018231554,0.00014388329156334,1.99378796710589e-06,0.0183234057120297,0.00604695675119514,0.0135346092251722,0.0298786024100037,0.0428568551314943,0.0466512174589301,0.0729049013095914,1.11975310370568e-06,0.000102912927440593
"130",0.00979632943901868,0.444386031766653,4.46447338496632e-07,0.000533524038655466,0.00234748117999262,0.395377250496295,4.62522548428733e-05,1.48948993754498e-08,0.00991700249327134,2.12889952113522e-06,0.038761937685843,0.00208039496178797,0.0247997269193119,0.0306568276474104,0.038315818838628,2.09662137765433e-08,0.00297881107031659
"132",6.36187021525445e-07,6.82896497843714e-06,0.000221470263545695,0.00260395286214964,5.68174286292694e-06,0.295706970085758,0.355491099002505,0.30454088049252,7.05701358985348e-05,0.000884848142315179,0.00990515825871348,8.74616354899559e-07,0.000856611035495999,1.51564353944022e-06,3.32390565840933e-07,0.0297025701725108,3.26429601298792e-12
"134",4.52654430140741e-08,0.157333870960912,3.51130830634773e-09,2.62841709044829e-05,8.06236715663478e-07,0.717207477818671,0.000190433515482638,1.00017801469206e-14,0.00123348675316966,6.68063782148139e-16,0.0358568097727539,0.000204393348313485,0.000331269329799945,0.000211413187568422,7.22429886535407e-09,4.52511977226289e-13,0.0874036989041954
"136",5.1155230173636e-07,0.0231925555492761,0.000524039519629627,3.91092833278983e-09,0.00154871584357765,0.00693972884461612,0.951252884376597,0.000268286505938525,4.94810197341825e-07,6.59779037323597e-05,0.0112322109085165,0.000229940549686907,3.03116011431364e-08,0.00110859630026777,2.53450063804222e-09,0.00362858417898272,7.4363996497703e-06
"137",0.00552612312930466,0.253903071706969,8.52584842046161e-07,0.000524045848760159,0.0889303155617436,0.490471047844487,0.0121530040086874,1.10723018707958e-09,0.0119060648932177,1.04222802846379e-06,0.0209208125465188,0.0293702362248036,0.0111573321161882,0.061604806621269,0.00247492847796997,2.52560060947119e-09,0.0110563125743792
"138",0.00699297826683623,0.226034926287257,1.02055200527233e-06,0.000475091789588339,0.108931402356777,0.589171611044973,0.00534205219899468,4.54582795092674e-11,0.00459761312648725,3.4587352979219e-10,0.0531831280763788,0.000121023599157859,0.00105652770250419,0.00383624028017041,4.02408941672685e-05,1.83566797581786e-10,0.000216143249803575
"139",0.0479899699735627,0.152303685213367,1.70884552533087e-06,0.393285070160494,0.00701121129146514,0.29097835793987,0.00838165015553832,5.72950104645249e-09,0.0352800778784139,4.02153473394197e-06,0.00932339503087616,0.0360796669158397,0.00153347475031721,0.00609843261110099,0.00145615791924077,1.53826274865463e-08,0.0102730986675262
"140",5.64834329013868e-05,0.000900188354022082,0.000206303440169305,0.443769992671885,0.397722779332886,0.115565556116771,3.55720618854053e-06,3.23837383293477e-05,0.0364370187535488,6.29709175750488e-06,0.00200503687834823,2.58673700133681e-06,6.11628824601971e-06,5.88733078276165e-05,3.72134070518592e-05,0.000216140168422852,0.00297347307464366
"141",1.61795230264114e-05,3.30694084827824e-05,2.98415953617562e-06,0.97730944425239,9.67001640343523e-08,5.08921331273609e-06,4.89554982567996e-05,6.25233607021322e-06,8.57355603482256e-05,8.47416470726989e-05,1.49631020074509e-06,0.0223725299546879,1.52280274145998e-08,2.89121230691524e-08,3.57582837817727e-06,8.71930674507875e-07,2.89335372476753e-05
"143",1.6150753735688e-05,0.0241046314916096,0.000345304024832289,0.0411114023706749,0.0224488774964358,0.00168019751216005,0.885217886988288,0.000100384286958828,0.000400808056792924,0.000785885425255674,0.000273109123015373,0.00556963784039543,2.35974221178142e-05,0.00515076676287949,1.1255917239718e-05,0.00123908932420154,0.0115210152034068
"144",4.26355403493652e-05,0.00536078231924594,0.000165563417948658,0.943196427249904,0.000298892142409622,0.00190295315735949,2.64926765663188e-05,0.000152014575982793,0.0418743880376928,0.00312833769296568,0.00106493748998226,0.00263711964413241,4.13116111430373e-05,3.93411857072729e-05,5.84895029833082e-06,6.27747090151419e-05,1.79599296432861e-07
