"","33 Vascular","05 OB-IMN GABA","32 OEC","34 Immune","03 OB-CR Glut","30 Astro-Epen","31 OPC-Oligo","14 HY Glut","29 CB Glut","10 LSX GABA","09 CNU-LGE GABA","01 IT-ET Glut","13 CNU-HYa Glut","06 CTX-CGE GABA","19 MB Glut","02 NP-CT-L6b Glut","15 HY Gnrh1 Glut","24 MY Glut","12 HY GABA","23 P Glut"
"0",0.0447897489643159,0.00053877875782007,0.769430626707534,0.106729493481281,0.000570460062812689,0.0252397602119786,3.20915092549366e-05,6.85584496254577e-06,0.000790243635166256,0.00351348278436318,0.0190421225235866,0.000847714068014416,0.0101795715852986,7.35164462692533e-06,0.0105422363339,0.00317766609118166,1.26632881309357e-06,6.25980905286123e-05,0.00420458495231195,0.000293346422248305
"1",0.289139522227116,0.0490204897117165,0.163702390209568,0.00299111082079795,1.74429949605003e-09,4.67045315642449e-05,0.00305243239666455,1.80354915611935e-15,1.11284134077202e-11,0.18851567811824,0.298722204294096,4.12883441946692e-08,1.84739620727555e-08,0.000455319501209152,1.07374975405548e-09,0.00433950324797315,5.12742430154914e-07,8.48869743633844e-12,1.40544408882685e-05,1.51577617820828e-08
"2",0.675657377363336,0.0251724591228637,0.188146792076657,0.0292903131404603,0.000195527625892207,0.000410564520870211,0.00904780253229947,2.81219207829921e-08,1.96138351770733e-05,0.00301010154973916,0.00605964566222542,9.99732579683209e-05,0.000121993235321294,0.00378040219587881,0.0281354530964304,0.0265884157551774,0.00063089931611474,5.09834332933704e-06,0.00357411752051411,5.34217278238617e-05
"3",0.000910893368374819,1.64089564182487e-05,0.153098418269625,2.78369537765394e-06,0.423389637012792,3.88581765756595e-07,0.0034438125734728,0.000947314715789835,5.32589422492637e-06,0.0805653348106799,0.000462622590398356,0.0137696612625224,0.000279102300297465,0.0175351451626794,1.01715788570238e-05,0.00516961634979269,7.12571495313744e-07,8.05731303157102e-05,0.30020465872914,0.000107418445981014
"4",0.37455245213173,0.135918660479852,0.0609024505008073,0.00188270942097838,0.000114015220449652,0.0931131209822147,0.0357507299225773,5.27517782939118e-06,4.34643195773334e-05,0.0571078498582822,0.214706323936017,0.000265053518777111,0.000725799803977598,0.00703343816551165,7.74901216078252e-05,0.01368450459074,3.20771411620708e-05,5.73625937445269e-05,0.00180333913501519,0.00222388297914856
"5",0.339566510388256,0.0811381889449403,0.206751480807779,0.0404332649975108,6.95536228473005e-05,0.0241476229128103,0.00372824057459515,4.17016404683854e-10,2.60103039419256e-06,0.081690029460775,0.182237327154382,0.00304906613871277,7.11149986234508e-05,0.0113016610781839,0.000232543901927181,0.0181224611767227,4.0046700413356e-06,9.40527360308038e-07,1.36007146832428e-05,0.00743978648243919
"6",0.426144602702037,0.0474834278412313,0.201421629135681,0.0122127170299212,2.60703835196105e-06,0.000265762892981672,0.000447331143024392,1.59108437068008e-11,7.98602541741212e-07,0.07750933983163,0.231067496086798,1.18410092017391e-08,1.56318827282899e-06,6.1350898766078e-05,5.96632983848891e-06,7.22214510553735e-06,0.00113950398997017,1.09091447720232e-08,1.483980676204e-07,0.00222850997971603
"7",0.0334231642231222,0.00151463884134336,0.755797595088075,0.000586919209748759,0.000443270576072773,1.41204701405485e-06,0.124592289126937,1.5497337742908e-26,0.00347929465186248,3.92276601414043e-06,0.0179078787525053,1.02350637748147e-06,0.0003494174120104,0.00606026535612403,0.0544194622403304,0.000354380538486746,1.9475065707764e-08,7.94410222934345e-05,0.000255068134767062,0.000730537031849772
"25",0.671097336529647,0.0533131467216725,0.0926491743927665,0.0700906559172155,2.03221020363083e-08,0.00300344263291524,0.00134908296984462,5.43987728535485e-07,2.29496005309415e-11,0.000598891640797264,0.0808689622946926,4.08012592804105e-07,1.03090831940816e-06,0.0128301253205755,0.011222810374884,0.00296791495503529,4.9828195388831e-06,3.31123168683978e-16,9.65915469892681e-07,5.04261252823198e-07
"26",0.808207021525223,1.87574719976112e-08,0.0965934395988519,0.0609299594578955,1.12223658227808e-06,4.83615394680997e-09,8.2066464972108e-08,0.00754654647147236,3.0524473412852e-09,2.6049768128219e-10,3.40527047337365e-06,7.03486352238456e-08,0.000437815307969282,5.62539581357325e-05,0.0262222691708233,1.94473528479197e-06,4.29084948494969e-08,8.72042561541866e-14,3.3824778911724e-25,3.70356289388868e-11
