"","05 OB-IMN GABA","13 CNU-HYa Glut","34 Immune","32 OEC","03 OB-CR Glut","33 Vascular","31 OPC-Oligo","30 Astro-Epen","09 CNU-LGE GABA","06 CTX-CGE GABA","10 LSX GABA","12 HY GABA","02 NP-CT-L6b Glut","29 CB Glut"
"0",1.12554724231453e-06,0.0858250995360667,0.0765100685953181,0.0446227071483165,0.00112550299507254,0.707160217809214,0.000211495645927762,0.00896069771217488,1.6782925780896e-07,0.0244814932514642,0.0424461423009691,0.0080316615808372,1.75693501232238e-07,0.00062344435463773
"1",0.00192517170708093,0.0882453181663827,0.0238804065892822,0.209161996636014,0.00049163057402089,0.00149526323357155,0.00557661938788963,0.411015853132079,0.00672257991719159,0.0038588016545696,0.0719720941616742,0.110079219677366,2.59000858641952e-05,0.0655491450770138
"8",1.87231968826293e-09,0.0167017545153703,0.000438537344591374,0.733883226690481,8.84721335221995e-08,0.000588093818695738,0.154489346591822,0.0550286663851396,0.000137608219155404,5.27515810051097e-05,8.96653325222069e-06,0.00317412525903507,0.000380465649279525,0.0351163670677203
"9",1.4102265170645e-07,0.162512853829493,0.0473545722707852,0.0240331640087392,1.16503856137772e-08,0.746330843852233,9.34812060855013e-06,2.79427200762936e-06,2.51833622978963e-07,9.65048210856526e-05,7.43474137686142e-06,3.31110015825644e-05,2.84041528410337e-06,0.0196161281601433
"11",0.0406692860581116,0.272771118220848,0.0659854363911253,0.0675057138557852,0.0162373687405498,0.00363720399775221,0.0843833093276248,0.253830641791025,0.00647545328964681,0.000127256367053543,0.0347314609182933,0.0561195703904756,4.50906497121479e-05,0.0974810900019965
"24",0.000162374420432265,0.116476167284178,0.0429998871676121,0.0329023995209761,0.00311992234497912,0.729375777037864,0.00189465247022415,0.000462191456823611,1.7229768541326e-05,0.0153725671263456,0.0308871961486956,0.000164600664187715,0.00481635041395886,0.021348684175181
"25",0.127905839635162,0.299304456813522,0.00133101851146476,0.17460822295708,0.00527659560086972,8.02304361847908e-05,0.0104459166239616,0.118089583385264,0.00897335805398987,0.0663669053189273,0.0637509400284021,0.11357134494772,0.000349777021973913,0.00994581066547822
"26",0.0483859261692876,0.242010683153503,0.190203551913038,0.0633415052402605,0.000210260461192693,0.0484319358878969,0.0316096285051728,0.129558066477845,0.000831093408618282,0.0147141611556875,0.0542517281344264,0.108197525953748,2.59845783315174e-05,0.0682279489609918
"27",0.176273082601484,0.0807287428660827,0.0175471900738362,0.00226526482717529,0.163222083742992,0.247014461124711,0.00488329487197142,0.0121431392564581,0.00790159828370446,0.0379159333520963,0.0485741178569268,0.133454793767684,0.000274448704287011,0.0678018486705915
"28",2.81340739205508e-05,1.56361428838357e-05,3.98822833778466e-06,2.83013286961915e-06,4.30212813144607e-06,0.701789727033702,1.18326468884662e-09,7.84491498622863e-08,1.55198221103186e-11,0.0569431132793356,5.34124007542543e-07,9.74172439368872e-08,6.56530381180572e-17,0.241211557791633
"29",0.408397059468909,0.00241310650633981,0.000942748617425209,0.00099042396610735,0.00015541029734485,0.000968595391469564,0.0217396583648509,0.0281813851358635,0.0773175190851255,0.0212775131231704,0.3482385830701,0.0882463999397318,0.00013728917071278,0.000994307862848963
"30",0.226817926999965,0.142401201549434,0.000873883172325824,0.00115438320050405,1.48938616752033e-05,0.397125453940483,0.00725855631072119,0.0409531059230956,0.0509604357913602,0.0259651696194931,0.0651725237507722,0.0161626100297723,0.0029515621831795,0.022188293667219
"31",0.000124321397472564,0.287635824186011,2.03167216032671e-06,2.69075819841413e-05,5.64544029838122e-05,0.609839912224402,3.76595780872879e-08,0.0907935821613114,0.000710708592179283,9.35558823347736e-09,0.00387664264254609,5.24146477674761e-07,2.83033775453895e-07,0.00693276094352951
"33",0.000500201566693215,0.181556550838137,0.0555831020125376,0.26777927896719,0.00230887098156243,0.117745032934882,0.0243302203669721,0.25687137268976,0.00844288161297657,0.032348212556846,0.00208072104211003,0.0460440167209473,8.32183248535934e-05,0.0043263193845323
"38",7.45765753590892e-07,0.0263915843621589,0.00823116933974269,0.00212202493922306,2.20118408151012e-06,0.000947989549371875,0.000524648022589472,0.923959357918854,3.17739108008225e-10,5.40785996451831e-08,2.19034386229548e-07,0.000262412005922152,1.90918685920011e-06,0.0375556842947183
"39",0.140632675173629,0.272702362746286,0.0149904407294083,0.246502159170572,0.000162067716884284,0.010297614605654,0.00180903889452588,0.0308312342152932,0.00782046125219683,0.0835206590229279,0.0444984383731676,0.0991168703865035,0.000979549868721608,0.0461364278442305
"40",0.248213912882687,0.0572710848557361,0.00266213450585985,0.0518342274815947,0.00710123367495531,0.187852576815177,0.007189618491799,0.100377830080309,0.0271464765326243,0.0388876460608136,0.0949562952909395,0.0798251530233876,0.00310229724722128,0.0935795130568958
"41",0.49189016346748,3.20779855750985e-05,0.0011716006859572,0.000691696549164387,0.00066039302616703,0.000229999037107473,0.00264539803722198,0.12878968479169,0.113434042459137,0.0828984257737208,0.142879272203605,0.0289223929727534,0.00107006900388025,0.0046847840065407
"42",0.222109573378021,0.0276460984620614,0.000533819666043844,0.0124871427735464,0.222228020851765,0.0343160349623399,0.0039928308613748,0.0620378760248022,0.0698945305178133,0.0615580507647998,0.102451388100784,0.124414514331115,0.000429838168618064,0.055900281136915
"43",0.308716645557907,0.00625936723084438,0.027954273142107,0.00345300553630012,0.0595430423511073,0.000433334020966365,0.00198125352070382,0.0695935306977689,0.016936958873198,0.086344723129574,0.154611611456992,0.211472899156728,0.000576927792317006,0.0521224275334862
"44",0.362667313022219,0.00011263468468557,0.00227314342955572,0.000143723974334625,0.0669227257386154,0.0137875521996564,0.0063897051134172,0.0102135642385743,0.0536087521850584,0.0782754276173807,0.195434451965209,0.126553638872482,0.000193922457557841,0.083423444501253
"45",2.23918628296728e-06,0.0095752158981375,0.00223778104751121,0.000179731325791132,0.000821003207907744,0.246585491186262,6.69992617431261e-05,0.6901145721542,0.000106477902310596,6.25640768979902e-06,0.00427650946174433,6.43577290021986e-05,0.000141213391655595,0.0458221518397616
"46",0.340490020681039,0.000896934611833091,0.000185679922486213,0.000211308981154819,0.0785714775587416,0.21425274356849,0.109813748860029,0.00323049539447897,0.0579160132685179,0.0557801763538826,0.0567793839326281,0.00317592808034408,0.000410170634427453,0.0782859181519477
"47",0.196089138234861,1.22602845331407e-05,0.00561409930980056,5.34442946458375e-05,0.00168401729815164,0.309403554165106,0.0021763689659522,0.18673476248712,0.0645934574893982,0.0705919084774389,0.0623899275145786,0.000518582765876244,0.00155812424648298,0.0985803544660549
"48",0.246399484775942,0.0527902893323402,0.000294782123073311,0.00968370709033466,0.00151992117698538,0.000301290063501771,0.000820404102046724,0.127916167566713,0.0406338442798646,0.107775456261788,0.129599250608993,0.274082811746162,1.36334047736907e-05,0.00816895746748207
"49",0.105227812271585,0.337102150003668,0.00211523092185518,0.16106952393219,0.00893738991627339,2.70102172024786e-05,0.00177639647990556,0.0508735188728498,0.0168601378767507,0.10111373097252,0.011231325020736,0.197411955547461,0.000311743269009866,0.00594207469799322
"50",0.0573433670837261,0.123602211957233,0.018017785192272,0.00106607521538349,6.44661014407528e-05,0.383965739633629,0.00267052623254131,0.000190245974440861,0.0025010726785451,0.0111991231476951,0.366170637429999,0.0320049582754312,0.000292528322144924,0.000911262755517634
