"","32 OEC","05 OB-IMN GABA","33 Vascular","34 Immune","03 OB-CR Glut","30 Astro-Epen","31 OPC-Oligo","02 NP-CT-L6b Glut","14 HY Glut","15 HY Gnrh1 Glut","10 LSX GABA","09 CNU-LGE GABA","12 HY GABA","13 CNU-HYa Glut","06 CTX-CGE GABA","11 CNU-HYa GABA","24 MY Glut","19 MB Glut","20 MB GABA"
"1",0.321850897055947,0.00139238428938615,0.229290545292032,0.0626474109284325,1.05118705448184e-06,0.217721338800813,0.000409131427923341,8.34025399045725e-05,3.90064581165424e-18,0.00554613449675475,0.0869150040573166,0.0072168648773642,1.25074514618925e-11,1.45237159034286e-10,1.16538493321004e-07,2.92020570466642e-10,1.74672167490806e-08,0.0669257005885645,3.03105945648771e-12
"2",0.0557272485785707,0.0978528030419017,0.555988058648797,0.0910543834912709,4.06892740661732e-06,0.00603014764669514,0.000908418039652105,0.0051601471410996,3.40308590201407e-06,0.00466098044389221,0.0307661114629097,0.141137522695619,0.00472318134722389,9.1214179874156e-05,0.0013266946403055,0.00455596913520306,2.3249016858362e-08,9.41296618889313e-06,2.11278471052847e-07
"3",0.145065025082909,0.0125755993484382,0.749036478565477,0.0116853014455144,4.77852505510777e-06,0.000107774268011041,0.000298703981818515,0.0203921403596143,8.15160851823406e-13,0.00208371628174994,0.0286958598005784,0.0283369735624387,4.22677248389942e-07,2.85239602111842e-06,1.95021815281078e-05,0.00161375183698817,8.61689422997759e-06,6.76021404443394e-11,7.25027239620874e-05
"4",0.000783024816333012,0.000556691936412626,0.964733169258096,0.0016553657903327,0.000116538526867589,1.98621872486998e-06,0.00266248562858588,9.14616026013854e-05,0.0247034077000062,0.000685792403507325,1.009200920962e-05,0.00134932072637956,7.89923911952931e-06,3.39051834008425e-06,7.02582403070032e-05,0.00119999776492991,0.000107519399793559,9.26187271259883e-06,0.00125233634774055
"5",0.19511895633626,0.0881912047352966,0.234345220881242,0.0106075942248304,2.60428683672184e-06,0.0186842417940095,0.0317343499761815,0.0208001223605591,0.0848454976750781,0.000144978216562272,0.186675847039039,0.101227125455657,8.49505066426986e-07,3.47549850481127e-09,0.000124571425429534,9.41461470051657e-06,9.12766170128658e-08,0.0274871101705861,2.16550549542803e-07
"7",0.00119266444521647,5.10277074137054e-05,0.701099755344619,0.0251474512044037,8.26102641956499e-07,0.000629844791959625,0.0620717236916347,0.00893392703258617,1.11069601524554e-15,0.00978157480465968,0.182674518615301,0.0030433688685632,0.000667950620306163,3.71525207566218e-06,1.08750203439882e-06,4.05884536568808e-06,2.37689921301687e-06,1.0510495448902e-20,0.00469412827200419
"8",0.712288208078334,0.012126827770286,0.0618411254481881,0.00303127444574005,9.10580734097715e-10,0.0524969957988378,8.81112282113964e-05,0.138743024710044,9.07224108562756e-12,0.00225943077564871,0.0134051625498134,0.00370869170533006,5.84264500735284e-06,1.6759249375083e-06,8.91174872557179e-07,2.44348406977937e-06,3.14598047672375e-17,2.93340788786225e-07,2.3699628034816e-13
"9",1.68083622794123e-07,0.319342288334974,0.203236594240581,0.00646874011139717,2.94064504061077e-06,6.43457940276852e-06,5.34578661978491e-06,1.65882601638286e-07,0.117800010722092,0.00695284493224113,0.345774497814223,0.000357677362562615,1.21633379205983e-06,4.78054378560666e-09,9.00048154435245e-06,1.14438584126368e-12,3.60817838414366e-05,2.79227445435242e-06,3.19584932145398e-06
"12",0.364748450202992,0.00291751674687512,0.420301704117485,0.00602123333677027,0.00085464127846675,0.00642012684312498,0.00486807907425572,0.0151973759581216,3.77896488573017e-07,0.00100695021012572,0.00870627468422341,0.0345951423923815,0.00076917411163479,6.90548534401832e-06,0.000399455064794876,0.00819256662999847,0.00148513595717211,0.118165814542666,0.00534307546707846
"13",0.408055257755203,0.00440624065606982,0.0586105888460365,0.0565545416137031,2.16416240348614e-05,0.225847087535744,0.0289632215485827,0.0175138437146803,7.30970630359752e-07,0.0025526634287577,0.00566205516590476,0.0452817113443309,1.09691164372522e-06,9.96572511104501e-08,2.94659136545881e-05,0.00017467275682194,2.96475749632259e-08,0.146320292871654,4.75803772136788e-06
