"cell_ID","32 OEC","05 OB-IMN GABA","33 Vascular","34 Immune","03 OB-CR Glut","30 Astro-Epen","31 OPC-Oligo","02 NP-CT-L6b Glut","14 HY Glut","15 HY Gnrh1 Glut","10 LSX GABA","09 CNU-LGE GABA","12 HY GABA","13 CNU-HYa Glut","06 CTX-CGE GABA","11 CNU-HYa GABA","24 MY Glut","19 MB Glut","20 MB GABA"
"1",0,0,0,0,0,0.273748804277612,0,0,0,0.309817023945485,0,0,0,6.48573305608798e-21,0,0,0,0.357745349847171,0.0586888219297317
"2",0,0,0.898513533514994,0.101486466485006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.182439411609165,0,0.817560588390835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0.962728594379917,0,0,0,0,0,0.0372714056200829,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,5.72736309307868e-05,0,0,0.494183762323523,0.491393995152391,0,0,0,0.000421265477054913,0,0,0.0139437034161008
"7",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"8",0.597634741446548,0,0,0,0,0,0.402365258553452,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.23160425865766e-19,0,0,0
"12",0,0,0.801779506084098,0,0,0,0,0,0,0.0433682290327841,0.117890048856805,0,0,0,0,0,0.0369622160263125,0,0
"13",0.742991332154704,0,0,0.00658816324695383,0,0,0,0.235036821202294,1.48442065021322e-13,0,0,0,0,0,0,0.0153836697291913,0,1.3666708073041e-08,0
"14",2.07863123861714e-05,0,0.44358311778039,0,0,0,0,0.343899972019194,1.66674019015983e-06,0.18531525320702,0,0,0,0,0,0,0,0.0271792039408199,0
"15",0.566675697644451,0,0,0,0,0.0664856518968299,0,0.00268727468300091,0,0,0.36411398605819,2.2937464492847e-07,0,3.71603428831935e-05,0,0,0,0,0
"16",0.29239986178248,0,0,0,0,0.589229648034603,0,1.73125640957077e-05,0,0.118353177618821,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0.760413505243506,0.0191805451953531,0,0,0,0,0,0,0,0,0.0694237687379247,0,0,0.150982180823216
"18",0.117883591200485,0,0,0,0,0,0,0,0,0,0.820452792413547,0.000415025892830315,0,0,0,0.000439371898990883,0,0,0.0608092185941467
"19",0,0.343376203887338,0,0,0,0.0656621391658198,0,0,0,0,0,0.542995717693964,0,0,-3.29516428935343e-22,0,0,0.0479203153011648,4.56239517131838e-05
"20",0,0,0.113448901981381,0,0,0.138584496618458,0,0,3.05074301006871e-18,0,0,0.561315353797465,0,0.0828914864722977,0.103759761130399,0,0,0,0
"21",0,0,0,0,0,0.133902637316472,0.133550174557416,0,0,0,0,0.614770045127654,-1.28612708878543e-18,0,0,0,0,0.11224959350693,0.00552754949152822
