,02 NP-CT-L6b Glut,03 OB-CR Glut,05 OB-IMN GABA,06 CTX-CGE GABA,09 CNU-LGE GABA,10 LSX GABA,11 CNU-HYa GABA,12 HY GABA,13 CNU-HYa Glut,14 HY Glut,15 HY Gnrh1 Glut,19 MB Glut,20 MB GABA,24 MY Glut,30 Astro-Epen,31 OPC-Oligo,32 OEC,33 Vascular,34 Immune
1,0.00031861103780101986,0.007923048036172987,0.020948703307658433,0.00031320870621129874,0.0006407775945262983,0.0016714195488020777,0.00011286593471595553,0.00019574376128730366,0.0001629437945666723,0.0002766920399153605,0.0005399807443609462,0.00034580924548208717,0.0006078890670323745,0.0002059270344034303,0.152760624140501,0.0009741276648128405,2.254969608783722,1.0950273633003236,0.0027219011913985013
2,0.00519374345894903,0.0033013227162882685,1.693182921409607,0.0015772169164847583,0.038831902854144576,0.00544051043689251,0.011712327226996421,0.016735622845590114,0.003914673731196672,0.006711632828228176,0.02703284891322255,0.008551181480288507,0.0054265721933916215,0.0048235190566629175,0.038359683193266395,0.006303451908752322,0.35242110341787336,11.149497461318969,0.2598034396767616
3,0.0022758051287382845,0.0015070856374222786,0.0011586143227759749,0.0009159139939583838,0.0009331321460194885,0.0012718219484668227,0.0004993541020667181,0.0025885223876684904,0.00131195253925398,0.0025204039295203986,0.005909591051749885,0.02046641819179058,0.005464960960671306,0.005193723039701581,0.014690801687538625,0.0019312044139951467,1.6638132512569428,9.985854244232177,0.020948440209031104
4,0.0008248477126471699,0.00048705640074331313,0.00036436443915590646,0.00021177462112973445,0.00095087100926321,0.0002636622069985606,0.00021059579739812762,0.0006479492585640401,0.0001931156271893997,0.0009177286963677034,0.0014040966227184982,0.002735670318361372,0.00027298443019390105,0.00041314606933156033,0.007010813243687153,0.0003743227149243467,0.005295098898932338,5.161847877502441,0.004685638099908828
5,0.0009635525027988479,0.09089493229985238,1.0897161543369294,0.0031817399314604702,0.004558058828115464,0.007234557159245014,0.00031097852333914486,0.001393809000728652,0.00030557623540516943,0.001136329397559166,0.0006276233296375721,0.0005298875767039136,0.0004533743849606253,0.0011435677588451654,0.07934544011950492,0.010746380174532532,1.1644055366516113,0.9520846784114838,0.005209330911748112
7,9.203662775689737e-05,0.0007406273653032258,0.000461502438702155,8.49644060508581e-05,0.0001909833124955185,0.00018115155544364824,8.844640033203177e-05,7.889923435868695e-05,0.000235176532441983,5.590288910752861e-05,3.656589724414517e-05,9.038053758558819e-05,9.154626241070218e-05,7.230693408928346e-05,0.009154648380354046,0.0012113780132494867,0.0012077446619514376,1.464016419649124,0.0008266704535344617
8,0.00013541905573219993,0.000358374098141212,0.0007256330514792354,9.871198089967949e-05,0.00019313640077598394,0.00017332006536889823,2.921844616139424e-05,6.0903877783857756e-05,3.334729863126995e-05,4.5616577335749756e-05,0.00011177305786986836,5.8568932763591876e-05,2.646283646754455e-05,2.1804998323204926e-05,0.07658691070973873,0.0007246669352753088,0.936768764257431,0.0014933272963389755,0.0004490225139306858
9,4.158953124715481e-05,0.0014319311070721597,0.3515190288424492,7.063383127388078e-05,0.0003504304826492444,0.00042711210844572636,2.8096588903281375e-05,3.8399927143473184e-05,2.645869781190413e-05,2.6865263771469474e-05,2.8040693723596633e-05,2.992957452079281e-05,2.1725328588217965e-05,2.3516634337283906e-05,0.0118615441955626,0.0008303788519697264,0.001978760596830398,0.03368393089622259,0.0011714873893652112
12,0.006899759522639215,0.047334680519998076,0.19819675534963607,0.00346045084297657,0.004800210031680763,0.0096656097099185,0.001447237649699673,0.004379531368613243,0.0024892196990549567,0.004163090419024229,0.008049054211005569,0.007563734496943653,0.0028397661517374218,0.01899279886856675,0.07234623469412327,0.002837712597101927,7.39537103176117,7.323165464401245,0.03773752469569445
13,0.0012215007620397956,0.002352046046871692,0.0022364711854606866,0.0009094339155126364,0.0012299883470404894,0.0028854195610620082,0.0009940402116626502,0.00059493946027942,0.0014738619094714523,0.001711451419396326,0.0008468474203255028,0.00646739574149251,0.0010137097735423595,0.0005427387717645615,1.041406524181366,0.004372940212488175,5.567649340629577,0.009765868121758104,0.005738400318659843
