"cell_ID","33 Vascular","05 OB-IMN GABA","34 Immune","32 OEC","30 Astro-Epen","03 OB-CR Glut","31 OPC-Oligo","13 CNU-HYa Glut","02 NP-CT-L6b Glut","11 CNU-HYa GABA","10 LSX GABA","09 CNU-LGE GABA","29 CB Glut","12 HY GABA","06 CTX-CGE GABA","14 HY Glut"
"0",0.784638188203454,0,0,0,0.0849067527429407,0,0,0,1.92695159132432e-21,0,0,0,0,0,0.130455059053606,0
"1",0.487399412585782,0,0.512600587414218,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0.0779851978278488,0,0,0,0,8.99260382875143e-05,0,0,0,0,0,0.921924876133864,0,0
"3",0,0,0,0,0,0,0.458719839148177,0.537563943104111,0,0,0,0.00371621774771168,0,0,0,0
"4",0,0.0949443807541483,0,0,0,0,0.110681605002477,0.000155235700927172,0.320188686973363,0,0,0.474030091569084,0,0,0,0
"5",0.0767328855938705,0,0,0,0,0,0,0.151021284740019,0.121434438741375,0,0.389251305358659,0,0.118845347914928,0.142714737651148,0,0
"6",0.55958059782367,0,0,0,0,0,0,0,1.37774764450329e-18,0,0,0,0,0.44041940217633,0,0
"7",0.367081397246948,0,0,0,0,0.443713286935225,0,0,0,0,0,0.189205315817827,0,0,0,0
"8",0.0713111857143496,-2.08967233578773e-19,0,0,0,0,0,0.351618007456984,0,0,0,0.000283443740348151,0,0.542943207932305,0,0.0338441551560136
"9",0,0,0,0,1.40205988315024e-18,0,0,0.544672316967714,0,0,0,0,0,0.455327683032286,0,0
"10",0.483174392063606,0,0.0302373096439727,0,0,0,0,0.388940752385796,0.0975945918309395,0,0,5.29540756860135e-05,0,0,0,0
"11",0,0,0.620018007258126,0,0,0,0,0.379981992741874,0,0,0,0,0,0,0,0
"12",0,0,0.318706343688775,0,0,0,0,0.349122845985953,0.332170810325272,0,0,0,0,0,0,0
"13",0.825510914406464,0,0,0,0.174489085593536,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,-1.28225782428841e-17,0,0,0,0,-3.67582579403864e-19,0,0,0,0.715054100822533,0.284945899177467,0
"15",0.0946697888738912,0,0,0,0,0,0,0.488192337850921,0.000141161060042949,0,0.361568551448513,0,0,0,0,0.0554281607666325
"16",0,2.92357166856126e-05,0,0,0,0.647857349177332,0,0,0,9.98204660116827e-07,0,0,0,0.352112416901323,0,0
"17",0.411240625472974,0.0314316358713018,0,0,-1.52128967288483e-18,0,0,0,0,0,0,0.000245968059577896,0,0.557081770596147,0,0
"18",0,0,0.156921579404046,0,0,0,0,0,0,0,0.185532805259275,0.0107436519124439,0,0.527522924508545,0.11927903891569,0
"19",0.676507598193971,0,0,0,0,0.167121719065313,0,5.76559460549226e-20,0,0,0,0.102191571315881,0,0.0541791114248346,0,0
"20",0,0.25436758947101,0,0,0.745119187280165,0,0,0,0,7.65659491759673e-05,-1.28779685424897e-18,0,1.01538799623655e-05,-2.45749370921754e-21,0.000426503419686732,0
"21",0,0.149497218442629,0.214448812154273,0,0,0,0,0,0,0,0,0.100047394579146,0.0519964258850574,0.43777754565747,0,0.0462326032814246
