"","05 OB-IMN GABA","30 Astro-Epen","03 OB-CR Glut","34 Immune","33 Vascular","31 OPC-Oligo","32 OEC","06 CTX-CGE GABA","29 CB Glut","09 CNU-LGE GABA","12 HY GABA","10 LSX GABA","02 NP-CT-L6b Glut","11 CNU-HYa GABA","13 CNU-HYa Glut"
"3",2.17421979874591e-06,7.78877909970212e-09,0.000526501208707344,0.010624450294719,0.801881761338311,0.0252801133206453,0.0898275645854761,0.0116331381983991,0.000166693173981351,0.000139781109462988,0.0311091182888999,0.000581415846353087,0.0178791098942984,7.15530120119466e-07,0.010347455202049
"4",0.0229024335415344,0.0128798990982397,7.49122645019504e-05,0.0371009991033907,0.0311576026687941,0.00600604767205279,0.128157545549647,0.013582916798894,0.0943513909053241,0.116327893736317,0.0577938573270521,0.207051554376052,0.066297579693615,0.000525137665549983,0.205790229599035
"5",0.0620824724598461,0.233728067700426,3.10026178272246e-05,0.000614576326118398,0.00464089815118947,0.0015425507308872,0.099285444684016,0.0398127697832396,0.193727825612453,0.0179217696765371,0.088096132553976,0.127834938676573,0.0190111803786149,0.0189062946054919,0.0927640760428041
"6",0.125118469790163,0.0555127049650706,4.11513520575541e-07,0.00889698588514034,0.0176523087208019,0.0333422409350951,0.027975454378866,0.0289583234243407,0.139969392145335,0.16498371038354,0.086324953760917,0.303708068576021,0.00108302310632767,0.000975579214659448,0.00549837320020252
"7",0.0518974009486853,0.00996234713549972,0.0206992611868385,0.0734217575469292,0.0101535264525989,0.0346617304991219,0.0890505195900087,0.0716830859746412,0.145731198339145,0.084586904636575,0.0219756175407551,0.205641962757201,0.0679827073430059,0.047653224590835,0.0648987554581591
"8",0.0198581304928463,0.00912430588917571,0.015001699777665,0.00208491644246299,0.000866486677034794,5.61842081292059e-06,0.460783781969978,0.0122391161209292,0.00662002666844709,0.0817900999101785,0.010238000392293,0.0106064741640569,0.15684134301856,0.00346408429665284,0.210475915758906
"9",8.0917147521738e-05,0.000846398826089604,4.00226371652711e-06,0.0644248597987815,0.281178818847074,7.40891199448321e-06,0.161812062627382,0.000373882215005024,0.229236870044183,0.000129026540916669,0.0945882355475647,0.0534586828404352,0.039180748492374,0.000579121405342389,0.0740989644916196
"16",0.0411814384751842,5.35263717330699e-06,1.63718625072464e-07,0.000219653121435607,0.818974319655102,5.03913535716542e-06,0.0309896492920708,0.0231512555698516,3.49763342887476e-05,2.40091279755676e-06,0.0837771101153288,4.26359524399673e-07,5.53123655604776e-06,3.2934315404237e-05,0.00161974912130044
"17",5.62151883234099e-05,0.0442850258525905,0.000505388519864546,0.0382484252702957,0.136449082181436,0.00307953012037165,0.284491641247879,5.25803304488958e-05,0.107230486299788,0.000527582733740966,0.0123723497349708,0.0200200796129099,0.0739952597190909,0.000616299676615863,0.278070053511674
"18",0.588718350046323,0.00202086735815049,5.22413194394301e-06,0.0333343236224206,0.00018399664011013,0.00129030849515169,0.0220607180740545,0.215068353546336,0.00456424798633175,0.0224996246599117,7.40094549504451e-05,0.00191026493899276,0.000262723475732261,0.107927167893021,7.98196765699249e-05
"21",0.274568080453484,0.067921975636483,0.000389771436638262,0.0144460379071429,0.0102946889899144,0.0213622139787438,0.000642412979874854,0.00230981927267303,0.116221906618523,0.198739730626775,0.12713672387896,0.162437255169498,0.000121287639613451,0.00211458332226208,0.00129351208941356
"22",0.0428848797275301,0.300577004428291,7.68422212416229e-05,0.0105920356471482,0.220218159753127,0.0169631679611163,0.080888156964198,0.0537089277238226,0.0442156575665184,0.0395000693763405,0.0074986511526577,0.141040650309652,0.0082784364908881,0.00578424132438439,0.0277731193530832
"23",0.0836385283051637,0.120086638059645,6.95017256293705e-06,0.0097321884830682,0.0129566055141509,0.0321581874114151,0.105778554152288,0.054768993994988,0.130571297591655,0.0128269332572323,0.0605955110161528,0.275104101379088,0.0180132872069349,0.000130700703665225,0.0836315227519899
"24",0.049651441965508,0.213768628191739,2.0290729823203e-06,0.00612381488335862,0.00571976713566756,0.00172468411429363,0.0577537504637098,0.0446007093247287,0.128949287649187,0.146623973878795,0.0533618890923249,0.214061350418031,0.0191940447750865,0.000726616307501853,0.0577380127270863
"25",0.0605313750060935,0.0555075520599175,3.4523198150407e-09,0.0172087610036577,0.0113052174919158,0.114358539417924,0.00732785505130079,0.0404668141755514,0.1899346521946,0.0268189583729912,0.00771103684549527,0.466847929237039,3.55972365564746e-05,1.56834450544219e-05,0.00193002500958343
"26",0.00471067964679524,0.000582484487197979,0.0523528427682403,0.000451455553221944,0.666318674315104,0.00278690279260206,0.0270520885584258,0.0121875311412422,0.079873377578159,0.038825727236489,0.00943904854073057,0.0593245310529865,0.00100784507514655,0.00958814863707453,0.0354986626165839
"27",0.0243450341615476,2.84327313493955e-12,1.53189378125708e-06,0.161569316109517,0.376312223049159,0.000392508393249993,0.0276012723895468,7.8446438831845e-05,2.10426260248144e-11,0.241575418967621,0.115090936694169,9.78415531912557e-05,5.25302762549246e-10,0.00159376511867578,0.0513417046815213
"28",0.209250751276312,0.000203116535486167,0.000106632160435718,0.036292120516311,0.461361027884491,0.00624651000585769,0.193551874577608,0.069859108632147,1.96710708983849e-05,2.16452393736416e-05,0.000139056057865962,0.00755868005119473,0.000633281482888789,1.18499459067986e-06,0.0147553395145393
"39",0.00764547795031296,4.06752786557944e-05,2.71068301324949e-05,0.000178565134178925,8.69437538618003e-05,0.00030258383091514,0.00222701992655771,0.00981934457953348,0.320671606416746,0.0011533189990667,0.118288219547694,0.488940067225782,0.00962760740695176,0.0351677552712411,0.00582370784837008
