cell_ID,cell_type,n_counts,cellType,n_genes
1,iNeuron,21748.0,iNeuron,4685
2,iNeuron,31641.0,iNeuron,6027
3,iNeuron,32913.0,iNeuron,5823
4,iNeuron,21530.0,iNeuron,4701
5,iNeuron,24795.0,iNeuron,5406
6,iNeuron,31404.0,iNeuron,6243
7,iNeuron,23021.0,iNeuron,5259
8,iNeuron,24182.0,iNeuron,5502
9,iNeuron,19422.0,iNeuron,5124
10,iNeuron,30636.0,iNeuron,6103
11,iNeuron,33673.0,iNeuron,6617
12,iNeuron,36048.0,iNeuron,6353
13,iNeuron,41436.0,iNeuron,6882
14,iNeuron,22035.0,iNeuron,5229
15,iNeuron,42452.0,iNeuron,7645
16,iNeuron,37862.0,iNeuron,6999
17,iNeuron,33712.0,iNeuron,6456
18,iNeuron,18417.0,iNeuron,4187
19,iNeuron,24449.0,iNeuron,5978
20,iNeuron,36266.0,iNeuron,6550
21,iNeuron,19034.0,iNeuron,5369
22,iNeuron,25722.0,iNeuron,5820
23,iNeuron,14858.0,iNeuron,4172
24,iNeuron,28136.0,iNeuron,5838
25,iNeuron,22184.0,iNeuron,5624
26,iNeuron,17201.0,iNeuron,4287
27,iNeuron,21335.0,iNeuron,5218
28,iNeuron,26044.0,iNeuron,6593
29,iNeuron,20723.0,iNeuron,5595
30,iNeuron,33656.0,iNeuron,6467
31,iNeuron,18018.0,iNeuron,5001
32,iNeuron,21627.0,iNeuron,5596
33,iNeuron,16591.0,iNeuron,4561
34,iNeuron,22101.0,iNeuron,5037
35,iNeuron,13467.0,iNeuron,3824
36,iNeuron,25401.0,iNeuron,5651
37,iNeuron,25328.0,iNeuron,5847
38,iNeuron,26479.0,iNeuron,5790
39,iNeuron,30119.0,iNeuron,5883
40,iNeuron,27471.0,iNeuron,5335
41,iNeuron,14280.0,iNeuron,4101
42,iNeuron,15709.0,iNeuron,4345
43,iNeuron,45259.0,iNeuron,7213
44,iNeuron,28791.0,iNeuron,5492
45,iNeuron,17659.0,iNeuron,4250
46,iNeuron,21909.0,iNeuron,5194
47,iNeuron,39220.0,iNeuron,7152
48,iNeuron,34679.0,iNeuron,6472
49,iNeuron,19394.0,iNeuron,4919
50,iNeuron,25004.0,iNeuron,6013
51,iNeuron,14099.0,iNeuron,4421
52,iNeuron,25873.0,iNeuron,5871
53,iNeuron,47064.0,iNeuron,7835
54,iNeuron,38195.0,iNeuron,7104
55,iNeuron,20143.0,iNeuron,5493
56,iNeuron,19319.0,iNeuron,5404
57,iNeuron,33527.0,iNeuron,6962
58,iNeuron,21256.0,iNeuron,5671
59,iNeuron,19253.0,iNeuron,4527
60,iNeuron,24067.0,iNeuron,5923
61,iNeuron,22518.0,iNeuron,5397
62,iNeuron,13239.0,iNeuron,4508
63,iNeuron,11101.0,iNeuron,3179
64,iNeuron,15674.0,iNeuron,4269
65,iNeuron,20560.0,iNeuron,4896
66,iNeuron,18567.0,iNeuron,4295
67,iNeuron,20284.0,iNeuron,5537
68,iNeuron,29519.0,iNeuron,6157
69,iNeuron,19078.0,iNeuron,5349
70,iNeuron,19674.0,iNeuron,4977
71,iNeuron,31189.0,iNeuron,6300
72,iNeuron,22349.0,iNeuron,5169
73,iNeuron,23662.0,iNeuron,5314
74,iNeuron,35452.0,iNeuron,6350
75,iNeuron,14631.0,iNeuron,4226
76,iNeuron,20026.0,iNeuron,4621
77,iNeuron,13113.0,iNeuron,2966
78,iNeuron,17272.0,iNeuron,4082
79,iNeuron,33674.0,iNeuron,5455
80,iNeuron,35085.0,iNeuron,5794
81,iNeuron,9927.0,iNeuron,3355
82,iNeuron,17937.0,iNeuron,4498
83,iNeuron,15198.0,iNeuron,3583
84,iNeuron,23380.0,iNeuron,5609
85,iNeuron,18889.0,iNeuron,4979
