gene_identifier,n_counts,n_cells
Tspan12,474.0,230
Tshz1,1019.0,428
Fnbp1l,1995.0,624
Adamts15,106.0,60
Cldn12,641.0,340
Rxfp1,116.0,64
2310042E22Rik,222.0,70
Sema3c,2354.0,388
Jam2,626.0,298
Apbb1ip,128.0,73
Frem2,70.0,43
BC005764,510.0,232
Deptor,265.0,130
C130030K03Rik,197.0,106
Klhl13,954.0,272
Tnfaip8l3,490.0,110
Ascl1,117.0,71
Atp1b2,2815.0,635
Tmem132e,191.0,113
Prkar2b,1865.0,503
Necab1,2923.0,465
Nr2f2,1739.0,320
Stmn1-rs1,570.0,310
Shisa9,905.0,291
Sub1,21025.0,1577
Vat1l,128.0,86
Pcdh18,363.0,139
Dpysl5,292.0,159
Agtr2,20.0,9
Cxcl14,3730.0,287
Ptprf,2299.0,757
Cers5,1837.0,734
Nacc2,1449.0,552
Cntnap2,1215.0,379
Asic4,167.0,69
Tph2,85.0,36
Rit2,1681.0,473
Scg2,9370.0,729
Nr2e1,224.0,97
Bmp3,143.0,101
B3galnt1,1529.0,538
Gm9846,11299.0,1382
Kcnn1,199.0,108
Fam19a2,615.0,266
Samd4,548.0,347
Stmn1,7356.0,1277
Egln3,413.0,99
Bmper,140.0,102
Cd200,1697.0,593
1810041L15Rik,627.0,215
Rnf128,470.0,231
P2ry1,168.0,93
Sorcs1,972.0,412
Htr3a,13123.0,175
Kcnip1,1042.0,168
Sco2,389.0,202
2610044O15Rik8,335.0,185
Tmem41b,1331.0,595
Cdh9,257.0,139
Ppp2r3d,463.0,250
Usp28,653.0,349
Trib2,966.0,434
L2hgdh,294.0,159
Cited2,661.0,361
Btbd11,333.0,131
Rgs12,1738.0,337
Cnr1,9918.0,540
Kcnd3,409.0,235
Htr3b,121.0,48
Sulf2,1854.0,636
Capn5,1363.0,466
Osbpl5,331.0,190
Nrtn,81.0,51
Nr2f1,3486.0,787
Galnt14,506.0,177
Slc35f1,848.0,353
Mmgt1,1035.0,497
Htr7,125.0,70
E130309F12Rik,403.0,167
Wtap,979.0,438
Racgap1,128.0,79
Arhgap24,114.0,73
Maml3,308.0,172
Gng2,3777.0,662
Tnc,76.0,40
Fndc3a,779.0,386
Npas3,730.0,321
Celf6,533.0,209
Inpp4b,164.0,104
Npas1,560.0,112
Ache,572.0,265
Clnk,81.0,37
Sel1l3,1581.0,453
Adarb2,421.0,141
Nrxn3,8467.0,961
Fam211b,194.0,113
Akap7,1234.0,438
Chrna4,677.0,210
Ugp2,2099.0,747
Tmem242,1210.0,507
Csdc2,726.0,371
Camk2d,1133.0,433
Rph3a,4840.0,712
Olfm2,618.0,341
Pcp4l1,2836.0,398
Ablim1,3046.0,724
Igf1,1533.0,281
Sorcs2,377.0,168
Ddah1,1113.0,458
3110043O21Rik,719.0,363
Adra1b,685.0,209
Vash2,63.0,33
2510009E07Rik,1077.0,479
Zfp518b,269.0,153
Magi3,804.0,364
Capza1,1523.0,618
Enho,1021.0,358
Asic1,618.0,326
Gng4,494.0,172
Bend4,138.0,80
Stat5b,282.0,173
Cntn4,740.0,389
Slc35f4,405.0,206
Frmd7,37.0,20
Pdzd2,327.0,198
Erbb4,193.0,122
Bglap2,65.0,12
Tac2,1775.0,98
Rpl34-ps1,6838.0,1289
Fam163a,124.0,53
Gm11110,42.0,27
Hcn3,512.0,233
Cenpa,105.0,62
Col6a3,81.0,42
Dlx6os1,1161.0,177
Col15a1,54.0,27
Cacng5,224.0,86
Xist,13546.0,898
Scn7a,54.0,24
Dennd2a,385.0,195
Wnt5a,332.0,118
Tmem229b,797.0,340
Cbln2,703.0,262
Bloc1s3,64.0,50
Socs2,503.0,201
Slc18a3,27.0,9
Mybpc1,43.0,17
AI848285,143.0,54
Wnt5b,66.0,31
Tcerg1l,137.0,66
Scgn,39.0,19
Myl1,154.0,10
Chat,32.0,10
Gpr176,219.0,106
Gpr68,45.0,27
Hcrtr2,104.0,48
Cntn6,233.0,143
Col24a1,113.0,50
Glra2,214.0,79
Rgs16,538.0,267
Scn5a,28.0,15
Grpr,94.0,26
Penk,967.0,138
Calb2,395.0,53
Rgs8,577.0,255
Slc5a6,291.0,148
Vangl2,77.0,55
A230072E10Rik,15.0,9
Bard1,20.0,9
Lca5l,40.0,27
H2-M5,27.0,14
Bag2,182.0,118
Trpc3,260.0,114
Fam159b,20.0,8
Gpc3,80.0,41
Clrn1,35.0,17
Dnajc4,164.0,99
Rimklb,305.0,166
2610002M06Rik,856.0,355
Cep120,615.0,329
Dfna5,226.0,138
Dlx1,654.0,190
Panx1,350.0,171
Slc7a1,1101.0,398
Dlx2,254.0,87
Acpl2,252.0,135
Pag1,316.0,177
Syngr3,3262.0,631
Rbms3,937.0,257
Pgap1,981.0,468
Dzank1,1485.0,467
Dcx,635.0,296
Nap1l5,7368.0,981
Dbndd1,216.0,115
Lancl3,100.0,64
Peg3,3316.0,783
Rimkla,173.0,82
1500011B03Rik,1985.0,708
Tbc1d8,186.0,108
Dnm3,3950.0,896
Prpsap1,1181.0,558
Neto1,812.0,345
Syt13,2069.0,634
Marcks,6875.0,943
Lhfpl3,172.0,119
Nap1l3,1402.0,488
Tmsb10,4143.0,789
Fgf12,3200.0,690
Pitpnc1,1872.0,543
Hsdl1,675.0,316
Iglon5,405.0,236
Kcnh2,149.0,85
Thsd7a,2156.0,547
Arhgdig,975.0,382
Slc25a33,535.0,295
AI504432,639.0,314
Rpp25,91.0,65
Rassf5,320.0,158
Tmem130,2273.0,515
Slc8a3,241.0,150
Whrn,156.0,78
Cib2,288.0,172
Sfrp2,28.0,14
Tgoln1,2538.0,822
Rcan3,384.0,173
Cdh7,90.0,57
Camk2n2,1227.0,328
Ccne1,345.0,178
Ppme1,2085.0,690
Polr3d,526.0,263
Ugdh,382.0,219
Glce,254.0,150
Klhl29,570.0,233
Mettl25,294.0,150
Mrto4,491.0,270
Sncb,2422.0,543
Tmem178,1246.0,497
Tfap4,20.0,15
Dnajb9,750.0,350
Zfp385a,165.0,99
AF529169,33.0,16
Fam161b,303.0,166
Foxred2,233.0,143
Wdr37,1210.0,521
Ppp1r3f,242.0,138
Nploc4,1033.0,468
Mpp3,711.0,325
Dlc1,930.0,365
Ino80e,469.0,250
Smim19,621.0,319
Tbc1d24,1083.0,469
Serp2,874.0,385
Dexi,556.0,276
Samd10,284.0,142
Ppfia4,466.0,207
Fnta,1597.0,635
Rab11fip5,778.0,355
Camk1,740.0,363
Snx8,368.0,183
Pelo,407.0,204
Pitpnm3,467.0,258
Ttn,142.0,67
B3galt6,320.0,185
Afg3l2,1009.0,457
Hibadh,861.0,418
Dnm1l,4969.0,1055
Gpr83,195.0,121
Uqcc1,626.0,343
Cdv3,1250.0,506
Egfr,119.0,75
Esrrg,166.0,111
Pank1,604.0,282
Polr2m,1796.0,572
9630033F20Rik,292.0,173
Adrbk2,1001.0,423
Syne1_loc2,2996.0,801
Ctnna2,947.0,417
Arl5a,1173.0,482
Gjd2,216.0,78
Pebp1,6557.0,1033
Adc,232.0,137
Cxx1b,1979.0,702
Gnal,877.0,382
Cdc27,1024.0,461
Arhgef10l,355.0,174
Nr1d2,1601.0,594
Elavl4,3449.0,681
Cntnap1,1129.0,488
Cops7a,2127.0,707
Tmem184b,654.0,333
Cerk,676.0,371
Map1lc3a,1585.0,634
Elof1,588.0,287
Pitpna,2234.0,780
Faim2,1899.0,643
Slc45a1,574.0,275
Kcnc1,1894.0,550
Maneal,674.0,319
Psmb4,3173.0,953
B4galt5,1117.0,475
Impad1,1736.0,672
Myo5a,3554.0,880
Nipal3,1110.0,487
Mafb,460.0,150
Dynll2,4449.0,809
Gnas,16324.0,1439
Ctsd,6782.0,1357
Gng3,3930.0,623
Slc38a1,2447.0,593
Kif1a,13647.0,1420
Pgam1,6851.0,1156
Tcf25,8053.0,1383
Stxbp1,7438.0,852
Rims2,1893.0,703
Scn1a,4141.0,762
Efhd2,2689.0,700
Lgmn,1591.0,662
Vamp1,389.0,245
Stox2,3117.0,943
Rnf11,3360.0,874
Plcb4,755.0,415
Tspyl4,4735.0,993
Lynx1,3185.0,600
Capns1,2421.0,819
Ttyh3,2351.0,716
Vegfb,861.0,323
Tiam1,939.0,331
Bcap29,797.0,359
Haus4,77.0,49
Cxx1c,4364.0,1062
Slc32a1,1046.0,178
Gas6,2201.0,758
Prkar1b,7706.0,798
Scoc,5454.0,1156
Ell2,574.0,377
Adam9,1408.0,592
Pdxk,1999.0,646
Nat8l,1758.0,599
Dnajb1,1128.0,511
Syngr1,4054.0,832
Bex2,4172.0,727
Aldoa,26675.0,1498
Elavl2,3341.0,553
Cand1,1832.0,653
Orc5,660.0,328
Srrm4,956.0,436
Rnf217,151.0,91
Dlx1os,734.0,126
Atp6v0d1,4894.0,901
Pkm,6960.0,1195
Pacsin2,518.0,272
Rab5b,2407.0,832
Cdr1,959.0,436
Dleu7,168.0,71
Rufy3,4655.0,1118
Sult4a1,4534.0,707
Phyhipl,3564.0,934
Aldh5a1,979.0,371
Slc1a4,840.0,351
Kbtbd2,1030.0,477
Etl4,1237.0,454
Cpeb3,1550.0,590
Shroom2,2211.0,672
Gapdh,3211.0,872
Adarb1,1152.0,394
Atp6v1b2,6590.0,1083
Fundc1,1167.0,564
Rangap1,4268.0,910
LOC106740,822.0,368
Rcan2,2786.0,849
Mllt11,7182.0,816
Rap1gds1,4041.0,917
Zc4h2,564.0,284
Cplx1,5701.0,659
Kcna6,1883.0,727
Arnt2,3152.0,758
AA465934,361.0,212
Vdac1,3808.0,959
Slc25a3,8553.0,1234
Abat,2217.0,604
Lrrc3b,226.0,130
Rpl3,3966.0,1072
Kcna2,3269.0,884
Pclo,4756.0,957
Ankib1,1427.0,612
Hspa8,22818.0,1569
Lpgat1,3173.0,913
Adcyap1r1,927.0,441
Cltb,1734.0,645
Hdgfrp3,2739.0,737
Fam102b,777.0,306
Hccs,1046.0,444
Vwc2,132.0,67
Lrtm2,472.0,271
Asic2,1266.0,456
Tbc1d9,484.0,280
Klc1,4407.0,858
Lpin1,580.0,328
Ndn,4045.0,784
Rpl41,10356.0,1471
Ids,4063.0,895
Sfxn1,1359.0,592
Dnlz,552.0,289
Fam63b,2551.0,779
Neto2,1162.0,354
Grip1,637.0,258
Abhd8,848.0,393
Ctps,2459.0,587
Ntrk2,6398.0,1123
Cspg5,2303.0,804
Syt1,31286.0,1132
Msi2,1917.0,660
Gm13363,3745.0,1000
Gabarapl1,6765.0,1218
Eef1a2,3381.0,616
Uba1,3197.0,1014
Fam163b,714.0,294
Mvb12b,2052.0,781
Got2,2934.0,748
Scg3,4263.0,867
Ipo4,1267.0,496
Ndrg4,13140.0,891
Srcin1,3515.0,989
Armcx2,1113.0,431
Lbh,556.0,358
Smyd2,998.0,438
Uggt1,1109.0,493
Ppip5k2,696.0,376
Sv2a,7018.0,1250
Wbp2,3913.0,1009
Stau2,1085.0,439
Rab3a,7053.0,939
Clip3,3094.0,968
Smap1,2392.0,695
Atcay,1816.0,596
Prune2,453.0,281
Polr3h,675.0,344
Zfp941,579.0,291
Impact,4896.0,1061
Pcsk1n,1964.0,614
Pdxp,1333.0,511
Rasgrf2,1990.0,398
Bcat1,1491.0,504
Celf4,10387.0,912
Slc6a17,2406.0,604
Nova1,761.0,367
Gnb1,4676.0,1081
Cend1,3631.0,754
Pten,3256.0,941
Gm6682,6858.0,1284
Cep170b,1225.0,504
Hdac6,605.0,291
Syp,5329.0,735
Fam3c,1105.0,441
Steap2,295.0,132
Pink1,2060.0,664
Apba1,938.0,461
Fam149a,223.0,130
Atp6v0e2,5379.0,1113
Rnf14,3443.0,947
Oxct1,6621.0,1199
Cxxc4,456.0,248
Rps26,3423.0,1009
Mcm6,137.0,77
Atp6v0c-ps2,21093.0,1403
Vamp2,5011.0,945
Slc2a3,1826.0,549
Ppm1h,644.0,352
Rcn2,1826.0,720
Nipal2,109.0,69
Bex1,1358.0,410
Ide,1053.0,466
Impdh1,697.0,306
Alg2,1005.0,466
Sorbs1,2056.0,604
Grb10,516.0,236
Rab6b,6708.0,949
Rusc1,1971.0,574
Aktip,829.0,386
Gdap1,2039.0,611
Uri1,935.0,436
Fbxo9,1648.0,579
Capn2,1560.0,644
Slc25a46,1748.0,620
Fam168b,2525.0,759
Glud1,1667.0,771
2900056M20Rik,1110.0,439
Tceal5,3326.0,655
Mbtps2,437.0,231
Purb,7355.0,1203
Trove2,2132.0,779
Sipa1l2,653.0,320
Reep5,5405.0,1038
Bcar1,928.0,422
Clstn3,2378.0,657
Rtca,789.0,376
Azin1,3358.0,958
Slc23a2,2038.0,655
Atp6v1a,19517.0,1455
Pcgf2,486.0,216
Ywhag,12764.0,1111
Elovl4,1906.0,619
Snx15,968.0,487
Mepce,968.0,457
Rnd3,409.0,183
Eif2s3x,1905.0,717
Eif4g2,8257.0,1371
Ube2e1,1516.0,554
Tmem55b,2645.0,846
Gria4,1749.0,567
Scai,2013.0,567
Rps27a,7207.0,1401
Ubc,13302.0,1523
Sgpp1,1158.0,491
Rnf187,5377.0,1059
Slc45a4,356.0,201
Snurf,13044.0,1154
Chst10,656.0,318
Mfn2,1958.0,677
Thbs2,135.0,75
Peg13,2436.0,658
Sqstm1,5476.0,1123
Usp32,1606.0,584
Setd7,1890.0,644
Ankrd50,642.0,262
Map3k9,515.0,248
Cltc,8460.0,1257
Snx16,1132.0,446
Epb4.1l1,2069.0,770
A330050F15Rik,68.0,41
Osbpl3,584.0,264
Csk,277.0,159
Rab21,907.0,426
Rps6ka6,76.0,40
Chchd10,2313.0,633
Col26a1,180.0,91
Auh,1072.0,508
Gnl3l,3112.0,761
Clasrp,1436.0,611
Xpr1,1347.0,497
Zfp811,347.0,191
Dirc2,1328.0,537
Cacnb4,6779.0,1057
Kcnab3,468.0,227
Anxa7,1218.0,478
Coprs,478.0,242
Igsf3,602.0,283
Gm20300,901.0,406
Uba6,587.0,298
Abcd2,890.0,389
Rgs17,2714.0,635
Tnfaip1,1047.0,472
Abcb7,644.0,307
Tet1,781.0,369
Tspan3,10203.0,1399
Usp22,3617.0,929
Hipk1,1421.0,594
Fam73a,1624.0,574
Maf,1576.0,302
Ndufaf6,137.0,85
Cacng2,2516.0,623
Btbd1,2459.0,752
Hivep1,537.0,345
Magi1,2968.0,867
Acly,3543.0,1038
Aplp2,10473.0,1469
Tsc22d3,2065.0,783
Bend6,1454.0,461
Crlf2,217.0,123
Tmem238,65.0,33
Arl4c,1431.0,296
Cul4b,918.0,417
Dlat,1270.0,504
Zfp385b,954.0,322
Flywch2,727.0,336
Mgll,4886.0,1187
2310057M21Rik,258.0,167
Scrt1,728.0,359
Trnp1,936.0,307
Rmnd5a,1717.0,652
2010107G23Rik,378.0,207
Lars2,29589.0,1640
Fbxo28,853.0,406
Nrip3,4655.0,528
Efr3b,4880.0,1016
Aldoart1,1761.0,593
Dmap1,364.0,207
Slc2a13,2440.0,456
Gpr162,465.0,255
Tmem56,1085.0,446
Ubash3b,1096.0,320
2310003H01Rik,250.0,148
Ttc39b,781.0,355
Ap2a1,691.0,338
Kcnq5,1063.0,355
Rpl9,4155.0,1141
Tfcp2,421.0,238
Dhrs11,56.0,31
Col14a1,102.0,38
Sp8,192.0,79
Cxcl5,33.0,22
Rgs10,1910.0,405
Myh8,45.0,12
Pnoc,1238.0,148
Snx7,384.0,205
Znhit1,449.0,241
Olfr920,30.0,22
Baiap2l2,44.0,32
Hhat,18.0,13
Vwa5a,519.0,295
Cpne4,378.0,168
Cidea,133.0,87
Gm5607,81.0,56
Mrgpre,169.0,93
Unc5d,982.0,290
Trh,22.0,5
Slc35d3,35.0,16
Ptchd4,312.0,203
Kcnc4,406.0,202
Mtss1,1075.0,443
Sae1,1316.0,540
Sox1,147.0,93
Gipc2,33.0,23
Gal,55.0,26
Lrp8,1396.0,606
Mcf2,96.0,57
Diras1,366.0,199
Ppp1r2,2112.0,667
Gm14204,259.0,98
Tox3,473.0,172
Alk,131.0,58
Fam46a,577.0,212
Pvrl2,119.0,64
Grem2,381.0,189
Fam98a,1189.0,536
Tex9,332.0,185
Fmo1,213.0,84
Mpdz,1189.0,450
Asph,2318.0,665
Lrrc4,1130.0,445
Zfp9,401.0,216
Tbc1d30,515.0,244
Atat1,1071.0,498
Vps33a,1307.0,549
Sv2c,86.0,44
Lats2,594.0,264
Sema5a,1313.0,467
Ptchd2,635.0,248
Kcns3,87.0,45
Crispld1,187.0,98
Zfp362,364.0,179
Tnnt1,140.0,63
Cyb561,944.0,386
Sp9,49.0,30
Pknox2,441.0,218
