gene_identifier,n_counts,n_cells
X1700022a21rik,206.0,53
X1700025g04rik,170.0,47
X4933401b06rik,165.0,54
X5830417i10rik,284.0,58
X9330102e08rik,192.0,57
X9430018g01rik,82.0,36
X9430083a17rik,148.0,47
Aanat,193.0,56
Aasdh,133.0,45
Aatf,348.0,64
Abat,453.0,67
Abca16,207.0,60
Abca17,140.0,53
Abca4,151.0,54
Abca8a,164.0,52
Abcb5,132.0,50
Abcb7,158.0,48
Abcc1,141.0,46
Abcc4,186.0,51
Abcc6,110.0,40
Abcc9,163.0,58
Abcg1,185.0,57
Abhd2,606.0,65
Abhd6,452.0,62
Abl1,409.0,64
Abl2,217.0,52
Ablim2,419.0,65
Abtb1,302.0,57
Acacb,199.0,57
Acad10,174.0,56
Acad11,256.0,62
Acad9,269.0,62
Acap2,141.0,51
Acat1,298.0,64
Acbd5,352.0,64
Ace,166.0,55
Acer3,134.0,49
Ackr3,271.0,60
Acot6,195.0,60
Acox1,363.0,66
Acox3,125.0,43
Acoxl,162.0,51
Acp5,128.0,50
Acsbg1,786.0,68
Acsbg2,221.0,60
Acsf2,169.0,53
Acsl5,276.0,58
Acsm1,178.0,56
Acsm2,148.0,51
Acsm5,228.0,60
Acss1,155.0,53
Actl7a,119.0,47
Actl9,201.0,55
Actn3,135.0,51
Actr10,368.0,64
Actrt3,131.0,46
Adam11,832.0,64
Adam12,146.0,53
Adam17,148.0,55
Adam19,183.0,53
Adam1b,189.0,56
Adam2,109.0,43
Adam21,85.0,40
Adam5,142.0,49
Adam9,332.0,61
Adamts13,161.0,52
Adamts2,134.0,50
Adamtsl2,245.0,55
Adamtsl4,100.0,46
Adap1,1661.0,69
Adarb1,390.0,64
Adck5,324.0,63
Adcy1,2045.0,68
Adcy2,399.0,61
Adcy3,276.0,62
Adcy9,552.0,64
Add3,314.0,64
Adh7,331.0,62
Adipor1,408.0,67
Adipor2,182.0,58
Adrb3,116.0,45
Adss,242.0,58
Aff2,271.0,59
Afg3l2,544.0,65
Agap1,243.0,57
Agap2,3726.0,69
Agbl2,162.0,50
Agfg2,324.0,62
Aggf1,450.0,63
Agl,146.0,51
Ago1,184.0,52
Ago2,391.0,64
Agpat3,629.0,69
Agpat4,175.0,48
Agps,336.0,64
Agrn,677.0,66
Agtr1a,237.0,57
Ahcyl2,266.0,57
Ahr,214.0,62
Ahrr,179.0,56
Aicda,139.0,50
Aif1l,154.0,51
Aifm3,232.0,62
Aip,196.0,55
Aire,184.0,55
Ak4,212.0,62
Ak5,718.0,69
Akap1,356.0,64
Akap5,874.0,67
Akap6,849.0,68
Akt3,365.0,63
Aldh1a3,158.0,49
Aldh2,643.0,68
Aldh3a1,132.0,52
Aldh5a1,301.0,61
Aldh7a1,118.0,38
Alg11,168.0,54
Alg12,184.0,54
Alms1,186.0,54
Alox12,138.0,43
Alox12b,202.0,60
Alpk1,141.0,44
Alpk3,151.0,51
Alpl,186.0,52
Als2,357.0,64
Als2cl,199.0,59
Alx3,139.0,51
Alx4,186.0,58
Ambra1,576.0,67
Amdhd1,148.0,53
Amer1,215.0,61
Amfr,585.0,68
Amhr2,353.0,65
Amigo1,320.0,63
Amot,272.0,58
Amotl2,245.0,61
Ampd3,146.0,51
Angel1,254.0,56
Angptl1,159.0,53
Angptl4,133.0,51
Angptl7,129.0,44
Ankk1,149.0,53
Ankmy2,327.0,61
Ankrd13c,126.0,45
Ankrd13d,427.0,63
Ankrd16,129.0,43
Ankrd24,187.0,54
Ankrd28,248.0,60
Ankrd29,193.0,56
Ankrd34c,213.0,56
Ankrd44,190.0,53
Ankrd45,135.0,47
Ankrd50,159.0,52
Ankrd52,199.0,51
Ankrd63,135.0,53
Anks1,349.0,64
Anks4b,111.0,44
Anln,191.0,52
Ano10,260.0,59
Ano6,282.0,62
Antxr1,226.0,56
Antxrl,243.0,59
Anxa4,151.0,56
Anxa6,327.0,64
Aox1,87.0,38
Ap1b1,633.0,67
Ap2a1,661.0,66
Ap2a2,1196.0,64
Ap3b2,676.0,64
Ap3d1,1180.0,71
Ap5b1,115.0,43
Apba1,428.0,65
Aph1b,222.0,60
Aplp2,578.0,69
Apmap,323.0,64
Apod,112.0,46
Apold1,160.0,51
Appbp2,226.0,60
Appl2,287.0,62
Aqp3,139.0,46
Aqp4,259.0,61
Aqp7,188.0,54
Ar,156.0,55
Arap1,179.0,56
Arap2,209.0,51
Arc,3070.0,67
Arfgap1,529.0,68
Arhgap1,346.0,64
Arhgap12,140.0,50
Arhgap19,191.0,59
Arhgap23,608.0,67
Arhgap26,332.0,64
Arhgap29,166.0,51
Arhgap31,287.0,65
Arhgap33,583.0,69
Arhgap36,143.0,51
Arhgap42,145.0,46
Arhgef10l,367.0,65
Arhgef15,178.0,60
Arhgef16,177.0,57
Arhgef19,201.0,57
Arhgef28,229.0,60
Arid3a,321.0,66
Arid5a,165.0,56
Arid5b,262.0,58
Arih1,147.0,46
Arih2,142.0,53
Arl13b,155.0,55
Arl2bp,596.0,63
Arl4d,446.0,62
Arl5b,202.0,55
Arl5c,222.0,55
Arl8b,302.0,58
Armc7,259.0,59
Armc9,254.0,61
Armcx2,215.0,55
Armcx6,136.0,48
Arnt,145.0,54
Arnt2,936.0,68
Arntl,298.0,63
Arpp19,210.0,57
Arrb1,680.0,66
Arrdc1,227.0,57
Arrdc3,155.0,55
Arsi,166.0,51
Arsk,159.0,51
Artn,205.0,59
Asb2,224.0,54
Asb3,168.0,50
Asb7,190.0,52
Ascc2,182.0,55
Ascl2,235.0,59
Asf1b,157.0,53
Asic1,326.0,60
Asl,257.0,60
Asns,304.0,58
Asprv1,119.0,44
Astl,187.0,61
Astn1,592.0,67
Asxl2,201.0,56
Atad3a,154.0,55
Atf6,229.0,54
Atg14,171.0,52
Atg16l2,206.0,54
Atg4c,191.0,52
Atg9a,868.0,66
Atic,322.0,62
Atl3,182.0,52
Atm,98.0,39
Atoh1,153.0,52
Atp10b,138.0,48
Atp11a,279.0,61
Atp2a1,149.0,51
Atp4a,269.0,60
Atp6v1b1,316.0,57
Atp7b,126.0,43
Atp8b5,106.0,52
Atp9b,257.0,59
Atpaf2,247.0,56
Atrn,245.0,60
Atrnl1,275.0,56
Aurkb,137.0,51
Auts2,366.0,60
Avpr1b,132.0,50
Axl,331.0,63
B3galnt1,384.0,61
B3galnt2,167.0,55
B3galt2,414.0,65
B3galt6,202.0,58
B3gat1,865.0,67
B4galnt3,242.0,64
B4galt1,152.0,54
B4galt2,474.0,65
B4galt3,367.0,65
B4galt5,281.0,63
B4galt7,272.0,63
B930092h01rik,154.0,51
Baalc,440.0,68
Bach2,185.0,56
Bambi,125.0,46
Bap1,661.0,67
Bard1,193.0,57
Barhl1,184.0,52
Barx2,176.0,55
Bbs10,338.0,64
Bbs12,195.0,52
Bbs4,263.0,59
Bc031361,142.0,49
Bcat1,156.0,51
Bckdha,297.0,64
Bcl3,154.0,55
Bcl7b,459.0,65
Bcl9,372.0,64
Bdh1,273.0,62
Bdkrb1,191.0,56
Bdkrb2,105.0,42
Bend3,186.0,60
Bend4,120.0,47
Best2,100.0,44
Best3,158.0,51
Bhlhe41,182.0,58
Bicd2,439.0,67
Bin1,1240.0,69
Bin3,224.0,58
Bivm,311.0,60
Bloc1s5,215.0,51
Bmp8a,113.0,42
Bmper,165.0,55
Bms1,496.0,65
Bnip2,240.0,59
Bod1l,242.0,54
Bok,162.0,52
Bora,190.0,54
Bpgm,256.0,60
Bpifb4,164.0,51
Brd2,519.0,67
Brf2,420.0,64
Bri3bp,299.0,66
Brpf3,304.0,62
Brwd3,150.0,48
Bsdc1,356.0,61
Bsn,1549.0,66
Bspry,128.0,40
Btbd17,195.0,55
Btd,334.0,63
Btk,150.0,53
Btla,116.0,39
Btn1a1,229.0,62
Bub1,256.0,61
Bub1b,234.0,56
Bub3,353.0,65
C030029h02rik,177.0,56
C1qtnf1,157.0,55
C2cd2,192.0,56
C8a,107.0,50
Cables1,303.0,64
Cacna1b,365.0,62
Cacna1c,437.0,61
Cacna1e,651.0,63
Cacna1g,805.0,67
Cacng2,374.0,62
Cacng3,807.0,64
Cactin,361.0,64
Calcrl,157.0,52
Camk1d,374.0,62
Camk1g,330.0,63
Camkk1,524.0,66
Camsap3,186.0,51
Capn13,183.0,57
Capn15,457.0,65
Capn2,121.0,43
Capn9,136.0,46
Capza1,217.0,52
Car2,444.0,64
Card10,228.0,56
Card14,166.0,53
Cars,237.0,61
Casc4,167.0,53
Caskin2,293.0,67
Casp8ap2,281.0,60
Casq2,145.0,48
Cav1,233.0,60
Cbfa2t2,224.0,55
Cbfa2t3,223.0,55
Cblb,240.0,62
Cbx4,152.0,47
Cc2d1a,587.0,66
Ccar2,247.0,58
Ccdc102a,222.0,55
Ccdc115,330.0,62
Ccdc126,255.0,59
Ccdc129,190.0,56
Ccdc130,165.0,52
Ccdc14,139.0,50
Ccdc146,198.0,59
Ccdc154,157.0,53
Ccdc157,315.0,65
Ccdc17,303.0,64
Ccdc181,224.0,57
Ccdc39,140.0,44
Ccdc40,149.0,52
Ccdc51,172.0,57
Ccdc65,311.0,61
Ccdc66,124.0,49
Ccdc85b,105.0,39
Ccdc87,117.0,41
Ccdc88b,140.0,48
Ccdc92,709.0,67
Ccdc97,357.0,62
Cchcr1,267.0,61
Ccng1,302.0,61
Ccnj,152.0,50
Ccr3,189.0,57
Ccr4,104.0,47
Ccr7,158.0,54
Ccser1,195.0,56
Ccser2,127.0,47
Cct8l1,176.0,59
Cd163,149.0,48
Cd22,185.0,55
Cd28,189.0,48
Cd300ld,148.0,51
Cd300lf,135.0,48
Cd300lg,123.0,48
Cd5,134.0,49
Cd6,116.0,47
Cd83,202.0,58
Cd93,217.0,56
Cd96,144.0,50
Cd99l2,306.0,61
Cdc23,202.0,59
Cdc25c,183.0,51
Cdc42bpg,316.0,62
Cdc42ep4,157.0,52
Cdc42se1,430.0,64
Cdc45,193.0,59
Cdc5l,232.0,59
Cdca2,140.0,54
Cdca5,153.0,46
Cdca7,102.0,44
Cdca8,216.0,52
Cdcp1,200.0,54
Cdh11,324.0,61
Cdh16,188.0,57
Cdh18,243.0,57
Cdh22,179.0,50
Cdh23,224.0,59
Cdh3,194.0,57
Cdh6,224.0,62
Cdh7,184.0,58
Cdk13,253.0,59
Cdk16,1123.0,68
Cdk5rap3,241.0,59
Cdk6,245.0,56
Cdkl2,287.0,61
Cdkl4,135.0,54
Cdkl5,1067.0,67
Cdkn1a,210.0,56
Cdkn1c,133.0,53
Cdon,116.0,43
Cdr2l,204.0,60
Cdyl2,236.0,56
Ceacam16,161.0,53
Ceacam20,172.0,54
Cebpz,121.0,51
Celsr3,296.0,58
Cenpf,130.0,46
Cep104,189.0,56
Cep135,245.0,57
Cep152,187.0,50
Cep164,295.0,58
Cep170b,1170.0,69
Cep350,180.0,57
Cep57,227.0,59
Cep68,117.0,48
Cep85,228.0,59
