gene_identifier,n_cells
Stk3,58
Asb8,52
Pnldc1,54
Cacna1g,67
Scn10a,60
Uqcrc1,70
Zfp770,42
Zbtb14,65
Mppe1,52
Tnrc6c,58
Pygo2,65
Trappc8,48
Prelp,62
Csnk2a2,58
Dhx58,44
Itih3,56
Gdpgp1,51
Zscan18,65
Lrit2,49
Grb10,62
Gigyf2,58
Arfrp1,57
Rab33b,57
Lrriq4,53
Gp2,60
Crot,59
Uba7,47
Trim35,66
Alox12e,56
Cradd,46
Myo1h,57
Engase,61
Nsun4,53
Plcd3,56
Ankrd36,58
Vps26a,54
Tollip,66
Zfand4,50
Stk11,69
Myrf,53
Cenpc1,56
Klc4,62
Vstm4,58
Tex16,57
Arhgap17,59
Tax1bp1,67
A230056j06rik,66
Ugcg,62
Slco5a1,56
Sgcb,62
Acsl1,63
Adsl,61
Metrnl,40
Jmjd6,62
Zc3h4,61
Itgae,58
Mcf2l,66
Gen1,54
Wnt5a,50
Clcn2,65
Zxdc,51
Cep250,62
Dcp2,57
Qrsl1,48
Aurka,58
Gpr135,62
Rapsn,60
Layn,61
Cpeb2,62
Exoc3l4,57
Fancd2,54
Osbpl5,65
Ccbe1,57
Cpt1a,68
Mical1,66
Gm14137,51
Fgfr1,67
Myof,65
Dtx1,61
Ppm1d,67
Cnot1,62
Ppp1r13b,62
Pnma2,47
Eri1,63
Slc6a17,68
Nup153,54
Zfp281,63
Prph2,53
Gprin1,71
R3hdm4,71
Exoc5,63
Glb1l,49
Zc3h12c,55
Ddit4l,55
Cyb5r3,62
Map3k3,66
Sptlc2,61
Ephb2,51
Kcnh3,68
Eml6,55
Cdhr2,46
Pcdh1,70
Rybp,53
Tfap2d,59
Cpsf1,61
Nomo1,55
Pif1,60
Ptpn21,49
Folr1,61
Duox2,35
Stau1,67
Zmat3,59
Stradb,53
Map3k6,59
Stag1,53
Rasal3,53
Rem1,56
Nom1,64
Pcyox1,62
Eapp,51
Slc7a5,67
Hebp2,62
Osgin2,64
Cgn,53
Eif1a,60
Dennd1b,52
Matn3,53
Fam71b,47
Sall4,54
Zbtb10,58
Nap1l3,63
Mn1,65
Abi3bp,55
Coro2b,70
Klc2,69
Prpf18,62
Fam192a,62
Fmnl1,69
Abhd15,47
Aatf,64
Hif1a,66
Mroh6,60
Tmc2,48
Ephx2,56
Smyd5,66
Kansl1,65
Ptpn7,53
Cyp7b1,57
Gfpt2,56
Med13l,62
Slc5a4b,61
Fancb,59
Rbbp5,60
Fjx1,66
Traf6,58
Reep4,57
Ccdc96,61
Slc2a5,54
Amer1,61
Srpx2,56
Cubn,54
Rhbdf2,60
Pla2g2c,47
Akap8l,66
Tgfb3,56
Pik3c2a,55
Osgin1,59
Cd34,64
Mars,60
Ikzf3,52
Suz12,63
Klhl10,59
Ppp1r15b,64
Zfp111,44
Tox,60
Gpr37,57
Prss8,59
Fzd10,55
Sbk1,70
Galnt15,63
Ccnk,64
Ripk3,63
Zfp263,55
Ggnbp2,64
Invs,57
Hipk1,67
Slc26a3,54
Rras2,61
Exoc6,63
Ptprc,57
Celf6,66
Ttc13,62
Mto1,53
Fam110b,65
Zc3h6,56
Bloc1s6,61
Ift81,67
Synpo,67
Asb1,63
Eea1,60
Gtf2e1,60
Cul3,62
Zfp568,51
Atp2a1,51
Dmrta1,58
Erg,55
Spata20,49
Tmem74,58
Ltbp3,57
Bok,52
Hand2,57
Smg6,53
Leprotl1,54
Arap1,56
Fdft1,67
Sema4g,52
Srgap3,66
Alox12,43
Trmt61a,66
Hexim1,66
Pet2,57
Klhdc3,70
Acvr2a,49
Barhl1,52
Gtf3c4,54
Apc2,70
Tle4,61
Cenpt,55
Daxx,64
Tmem236,56
Mapk4,65
Treml2,48
Pabpc5,52
Kars,64
Zbtb16,68
Hdac9,59
Slc1a5,44
Slco4c1,63
Atm,39
Megf10,57
Scamp2,59
Nol8,55
Zfp689,58
Pip5k1b,57
Tldc1,54
Ralgapb,65
Ogdhl,65
Zmynd10,54
Clic5,49
Slc22a23,66
Cdh23,59
Xpnpep2,43
Olfml3,63
Bcl6b,49
Cd320,60
Slc13a4,59
Mnat1,54
Fermt1,47
Unc119b,58
Ptrhd1,52
Parp11,61
Gbp3,58
Pid1,61
Clcn5,51
Fbxo30,55
Golph3,63
Hspb6,49
Zyg11a,53
Dmrt1,63
Cacnb4,61
Ptx3,58
Stk38,51
Pcdh19,66
Abca8a,52
Ascc3,51
Abce1,63
Trim28,68
Ankrd24,54
Amz1,61
Tead1,62
Moxd2,50
