cell_ID,Rect_code,Rect_index,n_counts,n_genes
0,0_0,0,655.0,428
1,0_1,1,6661.0,3207
2,0_2,2,5526.0,2676
3,0_3,3,4800.0,2542
7,1_0,7,7379.0,3648
8,1_1,8,15388.0,4813
9,1_2,9,21540.0,5329
10,1_3,10,28157.0,5419
14,2_0,14,37933.0,5807
15,2_1,15,24393.0,5553
16,2_2,16,35431.0,5759
17,2_3,17,27248.0,5440
21,3_0,21,34382.0,5807
22,3_1,22,40638.0,5894
23,3_2,23,31417.0,5653
24,3_3,24,18875.0,4767
28,4_0,28,24775.0,5572
29,4_1,29,35839.0,5816
30,4_2,30,42890.0,5782
31,4_3,31,4932.0,2382
35,5_0,35,24785.0,5457
36,5_1,36,39489.0,5792
37,5_2,37,28140.0,5533
38,5_3,38,22811.0,5034
42,6_0,42,23848.0,5354
43,6_1,43,27959.0,5599
44,6_2,44,21171.0,5136
45,6_3,45,10322.0,3733
49,7_0,49,31602.0,5726
50,7_1,50,25892.0,5556
51,7_2,51,44896.0,5814
52,7_3,52,26077.0,5144
56,8_0,56,26140.0,5472
57,8_1,57,38886.0,5811
58,8_2,58,36316.0,5760
59,8_3,59,19521.0,4836
63,9_0,63,13403.0,4593
64,9_1,64,63246.0,5949
65,9_2,65,29460.0,5478
66,9_3,66,26369.0,5217
70,10_0,70,49459.0,5904
71,10_1,71,18822.0,5054
72,10_2,72,44847.0,5788
73,10_3,73,12526.0,4409
77,11_0,77,30513.0,5703
78,11_1,78,37844.0,5825
79,11_2,79,42980.0,5880
80,11_3,80,25487.0,5441
81,11_4,81,7867.0,3736
82,11_5,82,4770.0,2565
83,11_6,83,5335.0,2646
84,12_0,84,32984.0,5722
85,12_1,85,42904.0,5859
86,12_2,86,40132.0,5826
87,12_3,87,44693.0,5875
88,12_4,88,29711.0,5748
89,12_5,89,43701.0,5886
90,12_6,90,12818.0,4433
91,13_0,91,9676.0,3894
92,13_1,92,25435.0,5490
93,13_2,93,35276.0,5711
94,13_3,94,32101.0,5717
95,13_4,95,39039.0,5851
96,13_5,96,25820.0,5483
97,13_6,97,18712.0,4970
101,14_3,101,15393.0,4786
102,14_4,102,45917.0,5913
103,14_5,103,35747.0,5706
104,14_6,104,2824.0,1489
109,15_4,109,4188.0,2305
110,15_5,110,2267.0,1385
