"","iNeuron","eNeuron","Olig","microglia","endo_mural","astrocytes"
"0",0.00439477442140743,0.00807344146677864,0.000299520756172173,0.0197042144910477,0.788339222177686,0.179188826686908
"1",0.0854578955299454,0.0420250203316476,0.0175224971786151,0.0250122597514479,0.401050449937851,0.428931877270493
"2",0.0195846986984964,0.0482135921885127,0.0181719764584616,0.0685956166266492,0.236478528125168,0.608955587902712
"3",0.0833497714217474,0.0858684446812185,0.00547367126420849,0.0919020262264635,0.217098555163932,0.51630753124243
"7",0.0334451435702481,0.382789626605872,0.0750062223114251,0.140391996167422,0.275999102346196,0.092367908998836
"8",0.0590474267749696,0.309307314792523,0.0189521043425853,0.106616460444078,0.342462483570934,0.16361421007491
"9",0.0527859980632217,0.400766646604819,0.0356735510201007,0.138635244510598,0.242199433240785,0.129939126560476
"10",0.0965521661201154,0.407113138626275,0.0273859649626608,0.154128638278603,0.136006730231318,0.178813361781028
"14",0.073704053188622,0.501386169204668,0.0183735397500143,0.167454995439508,0.135071345102397,0.10400989731479
"15",0.048206950179889,0.426886896409601,0.0361588654221357,0.153758397298267,0.2084479055041,0.126540985186008
"16",0.0386162444157404,0.486448265680409,0.0300956412170658,0.1335637557039,0.17501687223172,0.136259220751165
"17",0.0582240965963592,0.471844201992937,0.0232264304341529,0.105612905478712,0.236811471079726,0.104280894418113
"21",0.0261556706143085,0.51512090395511,0.0347422693933659,0.130853317947264,0.169758169669649,0.123369668420302
"22",0.047071018693675,0.562538446126375,0.0251511770490094,0.126935658089069,0.150162776769572,0.0881409232723
"23",0.0917187924405421,0.516569925152054,0.0133339164615244,0.1205069361284,0.13626034881077,0.121610081006709
"24",0.034649477753661,0.59339364087386,0.0184616429414274,0.0840944630427902,0.190602052449497,0.0787987229387639
"28",0.0635111351083231,0.418593836493614,0.0292815784287797,0.0823738051592021,0.123892085291259,0.282347559518822
"29",0.106081484221187,0.440021061113752,0.0310405787088238,0.108978704887653,0.173301276045765,0.14057689502282
"30",0.0947355290055737,0.528699693495961,0.0223096070475416,0.100646988961511,0.155287668266179,0.0983205132232333
"31",0.0545327444541766,0.455656460552756,0.0126876364378448,0.0733819131565954,0.266376505250162,0.137364740148465
"35",0.0822113067092415,0.446745320003535,0.0207428793721327,0.0699414829760713,0.251325766585514,0.129033244353506
